"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"verify user login","151","userLogin","Default Suite","2026-05-07","passed","2026-05-07","testclasses.HomepageTest","TestNGTest-a33a453a-8dbf-433f-91c9-a4456cb1ef1e","testclasses.HomepageTest","userLogin"
"verify company login","1768","CompanyLogin","Default Suite","2026-05-07","passed","2026-05-07","testclasses.Rough","TestNGTest-9cdfeca4-2c7a-4f57-87e3-deb8d315952b","testclasses.Rough","companyLogin"
"verify company login","1604","CompanyLogin","Default Suite","2026-05-07","passed","2026-05-07","testclasses.HomepageTest","TestNGTest-a33a453a-8dbf-433f-91c9-a4456cb1ef1e","testclasses.HomepageTest","companyLogin"
"Verify that the search bar is working and the result is loading.","6605","Search tiff in searchbar","Default Suite","2026-05-07","passed","2026-05-07","testclasses.HomepageTest","TestNGTest-a33a453a-8dbf-433f-91c9-a4456cb1ef1e","testclasses.HomepageTest","verifytiffileSearch"
"Verify that the search bar is working and the result is loading.","6958","Search xlsx in searchbar","Default Suite","2026-05-07","passed","2026-05-07","testclasses.HomepageTest","TestNGTest-a33a453a-8dbf-433f-91c9-a4456cb1ef1e","testclasses.HomepageTest","verifyxlsxfileSearch"
"Verify that the search bar is working and the result is loading.","6992","Search dxf in searchbar","Default Suite","2026-05-07","passed","2026-05-07","testclasses.HomepageTest","TestNGTest-a33a453a-8dbf-433f-91c9-a4456cb1ef1e","testclasses.HomepageTest","verifydxfleSearch"
"verify user login","124","userLogin","Default Suite","2026-05-07","passed","2026-05-07","testclasses.Rough","TestNGTest-9cdfeca4-2c7a-4f57-87e3-deb8d315952b","testclasses.Rough","userLogin"
"Verify that the attribute search is working and the result is loading.","14769","attributesearch","Default Suite","2026-05-06","passed","2026-05-06","testclasses.Rough","TestNGTest-bc8aef6c-2307-4d68-807d-c28e3cbae699","testclasses.Rough","verifyattributesearch"
"Verify that the search bar is working and the result is loading.","8121","Search a3dasm in searchbar","Default Suite","2026-05-07","passed","2026-05-07","testclasses.HomepageTest","TestNGTest-a33a453a-8dbf-433f-91c9-a4456cb1ef1e","testclasses.HomepageTest","verifya3dfileSearch"
"Verify that the attribute search is working and the result is loading.","13536","Filename Search in searchdropdown","Default Suite","2026-05-07","passed","2026-05-07","testclasses.HomepageTest","TestNGTest-a33a453a-8dbf-433f-91c9-a4456cb1ef1e","testclasses.HomepageTest","verifyFilenameSearch"
"Verify that the content search is working and the result is loading.","17865","content search in searchdropdown","Default Suite","2026-05-07","passed","2026-05-07","testclasses.HomepageTest","TestNGTest-a33a453a-8dbf-433f-91c9-a4456cb1ef1e","testclasses.HomepageTest","contentserch"
"Verify that the search bar is working and the result is loading.","6486","Search pptx in searchbar","Default Suite","2026-05-07","passed","2026-05-07","testclasses.HomepageTest","TestNGTest-a33a453a-8dbf-433f-91c9-a4456cb1ef1e","testclasses.HomepageTest","verifypptxfileSearch"
"Verify that all required icons and links are visible on the main dashboard.","3114","Verify Homepage Icons","Default Suite","2026-05-07","passed","2026-05-07","testclasses.HomepageTest","TestNGTest-a33a453a-8dbf-433f-91c9-a4456cb1ef1e","testclasses.HomepageTest","verifyHomepage"
"Verify that the content search is working and the result is loading.","36153","content search","Default Suite","2026-05-06","broken","2026-05-06","testclasses.HomepageTest","TestNGTest-ede25240-6853-4bc2-9480-9ac534d65bed","testclasses.HomepageTest","verifyContentSearch"
"Verify that the attribute search is working and the result is loading.","43571","attribute search","Default Suite","2026-05-06","broken","2026-05-06","testclasses.Rough","TestNGTest-4e8da540-9612-4b2e-8b66-2e299d4d6d4d","testclasses.Rough","verifyAttributeSearch"
"Verify that the search bar is working and the result is loading.","7118","Search a3dprt in searchbar","Default Suite","2026-05-07","passed","2026-05-07","testclasses.HomepageTest","TestNGTest-a33a453a-8dbf-433f-91c9-a4456cb1ef1e","testclasses.HomepageTest","verifya3dprtfileSearch"
"Verify that the search bar is working and the result is loading.","7742","Search pdf in searchbar","Default Suite","2026-05-07","passed","2026-05-07","testclasses.HomepageTest","TestNGTest-a33a453a-8dbf-433f-91c9-a4456cb1ef1e","testclasses.HomepageTest","verifyfileSearch"
"Verify that the attribute search is working and the result is loading.","37486","attributes search in searchdropdown","Default Suite","2026-05-07","broken","2026-05-07","testclasses.HomepageTest","TestNGTest-a33a453a-8dbf-433f-91c9-a4456cb1ef1e","testclasses.HomepageTest","attributesearch"
"Verify that the attribute search is working and the result is loading.","16235","Filename Search in searchdropdown","Default Suite","2026-05-07","passed","2026-05-07","testclasses.Rough","TestNGTest-9cdfeca4-2c7a-4f57-87e3-deb8d315952b","testclasses.Rough","verifyFilenameSearch"
