"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"Verify that the search bar is working and the result is loading.","6525","Search dwg in searchbar","Default Suite","2026-05-06","passed","2026-05-06","testclasses.HomepageTest","TestNGTest-79f0a959-da51-4670-bd54-5454787ded41","testclasses.HomepageTest","verifydwgfileSearch"
"verify company login","1582","CompanyLogin","Default Suite","2026-05-06","passed","2026-05-06","testclasses.HomepageTest","TestNGTest-79f0a959-da51-4670-bd54-5454787ded41","testclasses.HomepageTest","companyLogin"
"Verify that the search bar is working and the result is loading.","7807","Search pdf in searchbar","Default Suite","2026-05-06","passed","2026-05-06","testclasses.HomepageTest","TestNGTest-79f0a959-da51-4670-bd54-5454787ded41","testclasses.HomepageTest","verifyfileSearch"
"Verify that the search bar is working and the result is loading.","6864","Search csv in searchbar","Default Suite","2026-05-06","passed","2026-05-06","testclasses.HomepageTest","TestNGTest-79f0a959-da51-4670-bd54-5454787ded41","testclasses.HomepageTest","verifycsvfileSearch"
"Verify that the search bar is working and the result is loading.","6524","Search dxf in searchbar","Default Suite","2026-05-06","passed","2026-05-06","testclasses.HomepageTest","TestNGTest-79f0a959-da51-4670-bd54-5454787ded41","testclasses.HomepageTest","verifydxfleSearch"
"Verify that the search bar is working and the result is loading.","6369","Search docx in searchbar","Default Suite","2026-05-06","passed","2026-05-06","testclasses.HomepageTest","TestNGTest-79f0a959-da51-4670-bd54-5454787ded41","testclasses.HomepageTest","verifydocxfileSearch"
"Verify that the search bar is working and the result is loading.","6312","Search xlsx in searchbar","Default Suite","2026-05-06","passed","2026-05-06","testclasses.HomepageTest","TestNGTest-79f0a959-da51-4670-bd54-5454787ded41","testclasses.HomepageTest","verifyxlsxfileSearch"
"Verify that the search bar is working and the result is loading.","6828","Search a3dprt in searchbar","Default Suite","2026-05-06","passed","2026-05-06","testclasses.HomepageTest","TestNGTest-79f0a959-da51-4670-bd54-5454787ded41","testclasses.HomepageTest","verifya3dprtfileSearch"
"Verify that the search bar is working and the result is loading.","6356","Search pptx in searchbar","Default Suite","2026-05-06","passed","2026-05-06","testclasses.HomepageTest","TestNGTest-79f0a959-da51-4670-bd54-5454787ded41","testclasses.HomepageTest","verifypptxfileSearch"
"Verify that the search bar is working and the result is loading.","6588","Search tiff in searchbar","Default Suite","2026-05-06","passed","2026-05-06","testclasses.HomepageTest","TestNGTest-79f0a959-da51-4670-bd54-5454787ded41","testclasses.HomepageTest","verifytiffileSearch"
"verify user login","135","userLogin","Default Suite","2026-05-06","passed","2026-05-06","testclasses.HomepageTest","TestNGTest-79f0a959-da51-4670-bd54-5454787ded41","testclasses.HomepageTest","userLogin"
"Verify that the search bar is working and the result is loading.","7835","Search a3dasm in searchbar","Default Suite","2026-05-06","passed","2026-05-06","testclasses.HomepageTest","TestNGTest-79f0a959-da51-4670-bd54-5454787ded41","testclasses.HomepageTest","verifya3dfileSearch"
"Verify that the search bar is working and the result is loading.","9367","Search jpg in searchbar","Default Suite","2026-05-06","passed","2026-05-06","testclasses.HomepageTest","TestNGTest-79f0a959-da51-4670-bd54-5454787ded41","testclasses.HomepageTest","verifyjpgfileSearch"
"Verify that all required icons and links are visible on the main dashboard.","2857","Verify Homepage Icons","Default Suite","2026-05-06","passed","2026-05-06","testclasses.HomepageTest","TestNGTest-79f0a959-da51-4670-bd54-5454787ded41","testclasses.HomepageTest","verifyHomepage"
"Verify that the attribute search is working and the result is loading.","30107","attributesearch","Default Suite","2026-05-06","broken","2026-05-06","testclasses.HomepageTest","TestNGTest-79f0a959-da51-4670-bd54-5454787ded41","testclasses.HomepageTest","verifyattributesearch"
