"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"Verify that the search bar is working and the result is loading.","6350","Search dxf in searchbar","Default Suite","2026-05-06","passed","2026-05-06","testclasses.HomepageTest","TestNGTest-81daa591-a931-4539-b4a9-44f593f502d0","testclasses.HomepageTest","verifydxfleSearch"
"Verify that the search bar is working and the result is loading.","7799","Search a3dasm in searchbar","Default Suite","2026-05-06","passed","2026-05-06","testclasses.HomepageTest","TestNGTest-81daa591-a931-4539-b4a9-44f593f502d0","testclasses.HomepageTest","verifya3dfileSearch"
"verify user login","126","userLogin","Default Suite","2026-05-06","passed","2026-05-06","testclasses.HomepageTest","TestNGTest-81daa591-a931-4539-b4a9-44f593f502d0","testclasses.HomepageTest","userLogin"
"Verify that all required icons and links are visible on the main dashboard.","4479","Verify Homepage Icons","Default Suite","2026-05-06","passed","2026-05-06","testclasses.HomepageTest","TestNGTest-81daa591-a931-4539-b4a9-44f593f502d0","testclasses.HomepageTest","verifyHomepage"
"Verify that the search bar is working and the result is loading.","6298","Search csv in searchbar","Default Suite","2026-05-06","passed","2026-05-06","testclasses.HomepageTest","TestNGTest-81daa591-a931-4539-b4a9-44f593f502d0","testclasses.HomepageTest","verifycsvfileSearch"
"Verify that the search bar is working and the result is loading.","6340","Search docx in searchbar","Default Suite","2026-05-06","passed","2026-05-06","testclasses.HomepageTest","TestNGTest-81daa591-a931-4539-b4a9-44f593f502d0","testclasses.HomepageTest","verifydocxfileSearch"
"Verify that the search bar is working and the result is loading.","6522","Search tiff in searchbar","Default Suite","2026-05-06","passed","2026-05-06","testclasses.HomepageTest","TestNGTest-81daa591-a931-4539-b4a9-44f593f502d0","testclasses.HomepageTest","verifytiffileSearch"
"Verify that the attribute search is working and the result is loading.","30134","attributesearch","Default Suite","2026-05-06","broken","2026-05-06","testclasses.HomepageTest","TestNGTest-81daa591-a931-4539-b4a9-44f593f502d0","testclasses.HomepageTest","verifyattributesearch"
"Verify that the search bar is working and the result is loading.","7045","Search xlsx in searchbar","Default Suite","2026-05-06","passed","2026-05-06","testclasses.HomepageTest","TestNGTest-81daa591-a931-4539-b4a9-44f593f502d0","testclasses.HomepageTest","verifyxlsxfileSearch"
"Verify that the search bar is working and the result is loading.","6367","Search pptx in searchbar","Default Suite","2026-05-06","passed","2026-05-06","testclasses.HomepageTest","TestNGTest-81daa591-a931-4539-b4a9-44f593f502d0","testclasses.HomepageTest","verifypptxfileSearch"
"Verify that the search bar is working and the result is loading.","8808","Search pdf in searchbar","Default Suite","2026-05-06","passed","2026-05-06","testclasses.HomepageTest","TestNGTest-81daa591-a931-4539-b4a9-44f593f502d0","testclasses.HomepageTest","verifyfileSearch"
"Verify that the search bar is working and the result is loading.","6802","Search a3dprt in searchbar","Default Suite","2026-05-06","passed","2026-05-06","testclasses.HomepageTest","TestNGTest-81daa591-a931-4539-b4a9-44f593f502d0","testclasses.HomepageTest","verifya3dprtfileSearch"
"Verify that the search bar is working and the result is loading.","6322","Search dwg in searchbar","Default Suite","2026-05-06","passed","2026-05-06","testclasses.HomepageTest","TestNGTest-81daa591-a931-4539-b4a9-44f593f502d0","testclasses.HomepageTest","verifydwgfileSearch"
"Verify that the search bar is working and the result is loading.","8204","Search jpg in searchbar","Default Suite","2026-05-06","passed","2026-05-06","testclasses.HomepageTest","TestNGTest-81daa591-a931-4539-b4a9-44f593f502d0","testclasses.HomepageTest","verifyjpgfileSearch"
"verify company login","2161","CompanyLogin","Default Suite","2026-05-06","passed","2026-05-06","testclasses.HomepageTest","TestNGTest-81daa591-a931-4539-b4a9-44f593f502d0","testclasses.HomepageTest","companyLogin"
