"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"Verify that the attribute search is working and the result is loading.","2118","Filename Search in searchdropdown","packautomation","2026-05-12","broken","2026-05-12","testclasses.HomepageTest","Alfadock Login Test","testclasses.HomepageTest","verifyFilenameSearch"
"Verify that the search bar is working and the result is loading.","6395","Search pptx in searchbar","packautomation","2026-05-12","passed","2026-05-12","testclasses.HomepageTest","Alfadock Login Test","testclasses.HomepageTest","verifypptxfileSearch"
"Verify that the search bar is working and the result is loading.","6593","Search dxf in searchbar","packautomation","2026-05-12","passed","2026-05-12","testclasses.HomepageTest","Alfadock Login Test","testclasses.HomepageTest","verifydxfleSearch"
"Verify that all required icons and links are visible on the main dashboard.","3554","Verify Homepage Icons","packautomation","2026-05-12","passed","2026-05-12","testclasses.HomepageTest","Alfadock Login Test","testclasses.HomepageTest","verifyHomepage"
"Verify that the search bar is working and the result is loading.","8440","Search a3dasm in searchbar","packautomation","2026-05-12","passed","2026-05-12","testclasses.HomepageTest","Alfadock Login Test","testclasses.HomepageTest","verifya3dfileSearch"
"Verify that the folder checkbox search is working and the result is loading.","0","Search using Folder Checkbox","packautomation","2026-05-12","unknown","2026-05-12","testclasses.HomepageTest","Alfadock Login Test","testclasses.HomepageTest","verifyFolderCheckboxSearch"
"verify user login","138","userLogin","packautomation","2026-05-12","passed","2026-05-12","testclasses.HomepageTest","Alfadock Login Test","testclasses.HomepageTest","userLogin"
"Verify that the search bar is working and the result is loading.","7714","Search jpg in searchbar","packautomation","2026-05-12","passed","2026-05-12","testclasses.HomepageTest","Alfadock Login Test","testclasses.HomepageTest","verifyjpgfileSearch"
"verify company login","1510","CompanyLogin","packautomation","2026-05-12","passed","2026-05-12","testclasses.HomepageTest","Alfadock Login Test","testclasses.HomepageTest","companyLogin"
"Verify that the search bar is working and the result is loading.","7425","Search pdf in searchbar","packautomation","2026-05-12","passed","2026-05-12","testclasses.HomepageTest","Alfadock Login Test","testclasses.HomepageTest","verifyfileSearch"
"Verify that the content search is working and the result is loading.","0","content search in searchdropdown","packautomation","2026-05-12","unknown","2026-05-12","testclasses.HomepageTest","Alfadock Login Test","testclasses.HomepageTest","contentserch"
"Verify that the search bar is working and the result is loading.","7073","Search a3dprt in searchbar","packautomation","2026-05-12","passed","2026-05-12","testclasses.HomepageTest","Alfadock Login Test","testclasses.HomepageTest","verifya3dprtfileSearch"
"Verify that the search bar is working and the result is loading.","6663","Search tiff in searchbar","packautomation","2026-05-12","passed","2026-05-12","testclasses.HomepageTest","Alfadock Login Test","testclasses.HomepageTest","verifytiffileSearch"
"Verify that the attribute search is working and the result is loading.","2","attributes search in searchdropdown","packautomation","2026-05-12","unknown","2026-05-12","testclasses.HomepageTest","Alfadock Login Test","testclasses.HomepageTest","attributesearch"
"Verify that the search bar is working and the result is loading.","6315","Search docx in searchbar","packautomation","2026-05-12","passed","2026-05-12","testclasses.HomepageTest","Alfadock Login Test","testclasses.HomepageTest","verifydocxfileSearch"
"Verify that the file checkbox search is working and the result is loading.","0","Search using File Checkbox","packautomation","2026-05-12","unknown","2026-05-12","testclasses.HomepageTest","Alfadock Login Test","testclasses.HomepageTest","verifyFileCheckboxSearch"
"Verify that the search bar is working and the result is loading.","7192","Search xlsx in searchbar","packautomation","2026-05-12","passed","2026-05-12","testclasses.HomepageTest","Alfadock Login Test","testclasses.HomepageTest","verifyxlsxfileSearch"
"Verify that the search bar is working and the result is loading.","6706","Search csv in searchbar","packautomation","2026-05-12","passed","2026-05-12","testclasses.HomepageTest","Alfadock Login Test","testclasses.HomepageTest","verifycsvfileSearch"
"Verify that the search bar is working and the result is loading.","6653","Search dwg in searchbar","packautomation","2026-05-12","passed","2026-05-12","testclasses.HomepageTest","Alfadock Login Test","testclasses.HomepageTest","verifydwgfileSearch"
