"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"Verify that the search bar is working and the result is loading.","11464","Search dxf in searchbar","Default suite","2026-06-09","passed","2026-06-09","testclasses.HomepageTest","Default test","testclasses.HomepageTest","verifydxfleSearch"
"Verify verify root Folder Navigation in search bar is working and page is redirected to correct page.","17350","verify root Folder Navigation in search bar","Default suite","2026-06-09","passed","2026-06-09","testclasses.HomepageTest","Default test","testclasses.HomepageTest","verifyRootFolderNavigation"
"Verify that all required icons and links are visible on the main dashboard.","6177","Verify Homepage Icons","Default suite","2026-06-09","passed","2026-06-09","testclasses.HomepageTest","Default test","testclasses.HomepageTest","verifyHomepage"
"verify company login","6760","CompanyLogin","Default Suite","2026-05-22","passed","2026-05-22","testclasses.Rough","TestNGTest-e7ca400c-8e8e-4580-ae22-52e0b474601e","testclasses.Rough","companyLogin"
"Verify that the search bar is working and the result is loading.","11611","Search dwg in searchbar","Default suite","2026-06-09","passed","2026-06-09","testclasses.HomepageTest","Default test","testclasses.HomepageTest","verifydwgfileSearch"
"Verify that the search bar is working and the result is loading.","11826","Search tiff in searchbar","Default suite","2026-06-09","passed","2026-06-09","testclasses.HomepageTest","Default test","testclasses.HomepageTest","verifytiffileSearch"
"Verify that the search bar is working and the result is loading.","11922","Search xlsx in searchbar","Default suite","2026-06-09","passed","2026-06-09","testclasses.HomepageTest","Default test","testclasses.HomepageTest","verifyxlsxfileSearch"
"Verify that the search bar is working and the result is loading.","15165","Search pdf in searchbar","Default suite","2026-06-09","passed","2026-06-09","testclasses.HomepageTest","Default test","testclasses.HomepageTest","verifyfileSearch"
"Verify that the search bar is working and the result is loading.","10374","Search csv in searchbar","Default suite","2026-06-09","passed","2026-06-09","testclasses.HomepageTest","Default test","testclasses.HomepageTest","verifycsvfileSearch"
"Verify that the search bar is working and the result is loading.","12294","Search a3dprt in searchbar","Default suite","2026-06-09","passed","2026-06-09","testclasses.HomepageTest","Default test","testclasses.HomepageTest","verifya3dprtfileSearch"
"Verify that the search bar is working and the result is loading.","12645","Search docx in searchbar","Default suite","2026-06-09","passed","2026-06-09","testclasses.HomepageTest","Default test","testclasses.HomepageTest","verifydocxfileSearch"
"Verify that the search bar is working and the result is loading.","11662","Search pptx in searchbar","Default suite","2026-06-09","passed","2026-06-09","testclasses.HomepageTest","Default test","testclasses.HomepageTest","verifypptxfileSearch"
"Verify that the search bar is working and the result is loading.","17293","Search jpg in searchbar","Default suite","2026-06-09","passed","2026-06-09","testclasses.HomepageTest","Default test","testclasses.HomepageTest","verifyjpgfileSearch"
"Verify that the folder checkbox search is working and the result is loading.","33479","Search using Folder Checkbox","Default suite","2026-06-09","skipped","2026-06-09","testclasses.HomepageTest","Default test","testclasses.HomepageTest","verifyFolderCheckboxSearch"
"Verify that the search bar is working and the result is loading.","18614","Search a3dasm in searchbar","Default suite","2026-06-09","passed","2026-06-09","testclasses.HomepageTest","Default test","testclasses.HomepageTest","verifya3dfileSearch"
"verify user login","1071","userLogin","Default suite","2026-06-09","passed","2026-06-09","testclasses.HomepageTest","Default test","testclasses.HomepageTest","userLogin"
"verify company login","3575","CompanyLogin","Default suite","2026-06-09","passed","2026-06-09","testclasses.HomepageTest","Default test","testclasses.HomepageTest","companyLogin"
"verify user login","501","userLogin","Default Suite","2026-05-22","passed","2026-05-22","testclasses.Rough","TestNGTest-e7ca400c-8e8e-4580-ae22-52e0b474601e","testclasses.Rough","userLogin"
"Verify that the file checkbox search is working and the result is loading.","4","Search using File Checkbox","Default Suite","2026-05-22","unknown","2026-05-22","testclasses.Rough","TestNGTest-d57df388-d5b4-449c-ab12-1f230df08527","testclasses.Rough","verifyFileCheckboxSearch"
"Verify verify root Folder Navigation in search bar is working and page is redirected to correct page.","19950","verify root Folder Navigation in search bar","Default Suite","2026-05-22","passed","2026-05-22","testclasses.Rough","TestNGTest-e7ca400c-8e8e-4580-ae22-52e0b474601e","testclasses.Rough","verifyFolderCheckboxSearch"
"Verify that the content search is working and the result is loading.","18352","content search in searchdropdown","Default suite","2026-06-09","passed","2026-06-09","testclasses.HomepageTest","Default test","testclasses.HomepageTest","contentserch"
"Verify that the attribute search is working and the result is loading.","37462","attributes search in searchdropdown","Default suite","2026-06-09","skipped","2026-06-09","testclasses.HomepageTest","Default test","testclasses.HomepageTest","attributesearch"
"Verify that the file checkbox search is working and the result is loading.","22010","Search using File Checkbox","Default suite","2026-06-09","broken","2026-06-09","testclasses.HomepageTest","Default test","testclasses.HomepageTest","verifyFileCheckboxSearch"
"Verify that the attribute search is working and the result is loading.","20111","Filename Search in searchdropdown","Default suite","2026-06-09","passed","2026-06-09","testclasses.HomepageTest","Default test","testclasses.HomepageTest","verifyFilenameSearch"
