"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"Verify that the search bar is working and the result is loading.","6370","Search docx in searchbar","Default Suite","2026-05-06","passed","2026-05-06","testclasses.HomepageTest","TestNGTest-9a2966b8-ceae-4ef8-b4c2-54a8e492bcb3","testclasses.HomepageTest","verifydocxfileSearch"
"Verify that the search bar is working and the result is loading.","6562","Search tiff in searchbar","Default Suite","2026-05-06","passed","2026-05-06","testclasses.HomepageTest","TestNGTest-9a2966b8-ceae-4ef8-b4c2-54a8e492bcb3","testclasses.HomepageTest","verifytiffileSearch"
"verify user login","129","userLogin","Default Suite","2026-05-06","passed","2026-05-06","testclasses.HomepageTest","TestNGTest-9a2966b8-ceae-4ef8-b4c2-54a8e492bcb3","testclasses.HomepageTest","userLogin"
"verify company login","1641","CompanyLogin","Default Suite","2026-05-06","passed","2026-05-06","testclasses.HomepageTest","TestNGTest-9a2966b8-ceae-4ef8-b4c2-54a8e492bcb3","testclasses.HomepageTest","companyLogin"
"Verify that the search bar is working and the result is loading.","6539","Search dwg in searchbar","Default Suite","2026-05-06","passed","2026-05-06","testclasses.HomepageTest","TestNGTest-9a2966b8-ceae-4ef8-b4c2-54a8e492bcb3","testclasses.HomepageTest","verifydwgfileSearch"
"Verify that the search bar is working and the result is loading.","7908","Search a3dasm in searchbar","Default Suite","2026-05-06","passed","2026-05-06","testclasses.HomepageTest","TestNGTest-9a2966b8-ceae-4ef8-b4c2-54a8e492bcb3","testclasses.HomepageTest","verifya3dfileSearch"
"Verify that the search bar is working and the result is loading.","8299","Search pdf in searchbar","Default Suite","2026-05-06","passed","2026-05-06","testclasses.HomepageTest","TestNGTest-9a2966b8-ceae-4ef8-b4c2-54a8e492bcb3","testclasses.HomepageTest","verifyfileSearch"
"Verify that the search bar is working and the result is loading.","6900","Search xlsx in searchbar","Default Suite","2026-05-06","passed","2026-05-06","testclasses.HomepageTest","TestNGTest-9a2966b8-ceae-4ef8-b4c2-54a8e492bcb3","testclasses.HomepageTest","verifyxlsxfileSearch"
"Verify that the search bar is working and the result is loading.","6812","Search pptx in searchbar","Default Suite","2026-05-06","passed","2026-05-06","testclasses.HomepageTest","TestNGTest-9a2966b8-ceae-4ef8-b4c2-54a8e492bcb3","testclasses.HomepageTest","verifypptxfileSearch"
"Verify that the search bar is working and the result is loading.","8212","Search jpg in searchbar","Default Suite","2026-05-06","passed","2026-05-06","testclasses.HomepageTest","TestNGTest-9a2966b8-ceae-4ef8-b4c2-54a8e492bcb3","testclasses.HomepageTest","verifyjpgfileSearch"
"Verify that the search bar is working and the result is loading.","6752","Search a3dprt in searchbar","Default Suite","2026-05-06","passed","2026-05-06","testclasses.HomepageTest","TestNGTest-9a2966b8-ceae-4ef8-b4c2-54a8e492bcb3","testclasses.HomepageTest","verifya3dprtfileSearch"
"Verify that all required icons and links are visible on the main dashboard.","2876","Verify Homepage Icons","Default Suite","2026-05-06","passed","2026-05-06","testclasses.HomepageTest","TestNGTest-9a2966b8-ceae-4ef8-b4c2-54a8e492bcb3","testclasses.HomepageTest","verifyHomepage"
"Verify that the search bar is working and the result is loading.","6816","Search csv in searchbar","Default Suite","2026-05-06","passed","2026-05-06","testclasses.HomepageTest","TestNGTest-9a2966b8-ceae-4ef8-b4c2-54a8e492bcb3","testclasses.HomepageTest","verifycsvfileSearch"
"Verify that the attribute search is working and the result is loading.","30018","attributesearch","Default Suite","2026-05-06","broken","2026-05-06","testclasses.HomepageTest","TestNGTest-9a2966b8-ceae-4ef8-b4c2-54a8e492bcb3","testclasses.HomepageTest","verifyattributesearch"
"Verify that the search bar is working and the result is loading.","6805","Search dxf in searchbar","Default Suite","2026-05-06","passed","2026-05-06","testclasses.HomepageTest","TestNGTest-9a2966b8-ceae-4ef8-b4c2-54a8e492bcb3","testclasses.HomepageTest","verifydxfleSearch"
