"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"Verify that the search bar is working and the result is loading.","7684","Search jpg in searchbar","Default Suite","2026-05-06","passed","2026-05-06","testclasses.HomepageTest","TestNGTest-410bc097-4a62-4bf4-8a1b-b67e83626cc6","testclasses.HomepageTest","verifyjpgfileSearch"
"Verify that the search bar is working and the result is loading.","6623","Search tiff in searchbar","Default Suite","2026-05-06","passed","2026-05-06","testclasses.HomepageTest","TestNGTest-410bc097-4a62-4bf4-8a1b-b67e83626cc6","testclasses.HomepageTest","verifytiffileSearch"
"Verify that the search bar is working and the result is loading.","6469","Search pptx in searchbar","Default Suite","2026-05-06","passed","2026-05-06","testclasses.HomepageTest","TestNGTest-410bc097-4a62-4bf4-8a1b-b67e83626cc6","testclasses.HomepageTest","verifypptxfileSearch"
"Verify that the search bar is working and the result is loading.","6480","Search xlsx in searchbar","Default Suite","2026-05-06","passed","2026-05-06","testclasses.HomepageTest","TestNGTest-410bc097-4a62-4bf4-8a1b-b67e83626cc6","testclasses.HomepageTest","verifyxlsxfileSearch"
"verify user login","122","userLogin","Default Suite","2026-05-06","passed","2026-05-06","testclasses.HomepageTest","TestNGTest-410bc097-4a62-4bf4-8a1b-b67e83626cc6","testclasses.HomepageTest","userLogin"
"Verify that the search bar is working and the result is loading.","6457","Search dwg in searchbar","Default Suite","2026-05-06","passed","2026-05-06","testclasses.HomepageTest","TestNGTest-410bc097-4a62-4bf4-8a1b-b67e83626cc6","testclasses.HomepageTest","verifydwgfileSearch"
"Verify that the search bar is working and the result is loading.","7872","Search a3dasm in searchbar","Default Suite","2026-05-06","passed","2026-05-06","testclasses.HomepageTest","TestNGTest-410bc097-4a62-4bf4-8a1b-b67e83626cc6","testclasses.HomepageTest","verifya3dfileSearch"
"Verify that the search bar is working and the result is loading.","6383","Search docx in searchbar","Default Suite","2026-05-06","passed","2026-05-06","testclasses.HomepageTest","TestNGTest-410bc097-4a62-4bf4-8a1b-b67e83626cc6","testclasses.HomepageTest","verifydocxfileSearch"
"verify company login","1581","CompanyLogin","Default Suite","2026-05-06","passed","2026-05-06","testclasses.HomepageTest","TestNGTest-410bc097-4a62-4bf4-8a1b-b67e83626cc6","testclasses.HomepageTest","companyLogin"
"Verify that the search bar is working and the result is loading.","6801","Search dxf in searchbar","Default Suite","2026-05-06","passed","2026-05-06","testclasses.HomepageTest","TestNGTest-410bc097-4a62-4bf4-8a1b-b67e83626cc6","testclasses.HomepageTest","verifydxfleSearch"
"Verify that the attribute search is working and the result is loading.","30109","attributesearch","Default Suite","2026-05-06","broken","2026-05-06","testclasses.HomepageTest","TestNGTest-410bc097-4a62-4bf4-8a1b-b67e83626cc6","testclasses.HomepageTest","verifyattributesearch"
"Verify that all required icons and links are visible on the main dashboard.","2844","Verify Homepage Icons","Default Suite","2026-05-06","passed","2026-05-06","testclasses.HomepageTest","TestNGTest-410bc097-4a62-4bf4-8a1b-b67e83626cc6","testclasses.HomepageTest","verifyHomepage"
"Verify that the search bar is working and the result is loading.","6851","Search a3dprt in searchbar","Default Suite","2026-05-06","passed","2026-05-06","testclasses.HomepageTest","TestNGTest-410bc097-4a62-4bf4-8a1b-b67e83626cc6","testclasses.HomepageTest","verifya3dprtfileSearch"
"Verify that the search bar is working and the result is loading.","6306","Search csv in searchbar","Default Suite","2026-05-06","passed","2026-05-06","testclasses.HomepageTest","TestNGTest-410bc097-4a62-4bf4-8a1b-b67e83626cc6","testclasses.HomepageTest","verifycsvfileSearch"
"Verify that the search bar is working and the result is loading.","7279","Search pdf in searchbar","Default Suite","2026-05-06","passed","2026-05-06","testclasses.HomepageTest","TestNGTest-410bc097-4a62-4bf4-8a1b-b67e83626cc6","testclasses.HomepageTest","verifyfileSearch"
