"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"Verify that the attribute search is working and the result is loading.","6244","attributesearch","Default Suite","2026-05-06","broken","2026-05-06","testclasses.HomepageTest","TestNGTest-05093de6-89dd-4e9c-bc85-f6b9730432ed","testclasses.HomepageTest","verifyFilenameSearch"
"verify company login","1580","CompanyLogin","Default Suite","2026-05-06","passed","2026-05-06","testclasses.HomepageTest","TestNGTest-05093de6-89dd-4e9c-bc85-f6b9730432ed","testclasses.HomepageTest","companyLogin"
"Verify that the search bar is working and the result is loading.","6471","Search pptx in searchbar","Default Suite","2026-05-06","passed","2026-05-06","testclasses.HomepageTest","TestNGTest-05093de6-89dd-4e9c-bc85-f6b9730432ed","testclasses.HomepageTest","verifypptxfileSearch"
"verify user login","136","userLogin","Default Suite","2026-05-06","passed","2026-05-06","testclasses.HomepageTest","TestNGTest-05093de6-89dd-4e9c-bc85-f6b9730432ed","testclasses.HomepageTest","userLogin"
"Verify that the search bar is working and the result is loading.","6684","Search xlsx in searchbar","Default Suite","2026-05-06","passed","2026-05-06","testclasses.HomepageTest","TestNGTest-05093de6-89dd-4e9c-bc85-f6b9730432ed","testclasses.HomepageTest","verifyxlsxfileSearch"
"Verify that the attribute search is working and the result is loading.","24645","attributes search","Default Suite","2026-05-06","broken","2026-05-06","testclasses.HomepageTest","TestNGTest-05093de6-89dd-4e9c-bc85-f6b9730432ed","testclasses.HomepageTest","attributesearch"
"Verify that the search bar is working and the result is loading.","6713","Search dwg in searchbar","Default Suite","2026-05-06","passed","2026-05-06","testclasses.HomepageTest","TestNGTest-05093de6-89dd-4e9c-bc85-f6b9730432ed","testclasses.HomepageTest","verifydwgfileSearch"
"Verify that the attribute search is working and the result is loading.","36222","attribute search","Default Suite","2026-05-06","broken","2026-05-06","testclasses.HomepageTest","TestNGTest-ede25240-6853-4bc2-9480-9ac534d65bed","testclasses.HomepageTest","verifyAttributeSearch"
"Verify that the content search is working and the result is loading.","36153","content search","Default Suite","2026-05-06","broken","2026-05-06","testclasses.HomepageTest","TestNGTest-ede25240-6853-4bc2-9480-9ac534d65bed","testclasses.HomepageTest","verifyContentSearch"
"Verify that the search bar is working and the result is loading.","7822","Search a3dasm in searchbar","Default Suite","2026-05-06","passed","2026-05-06","testclasses.HomepageTest","TestNGTest-05093de6-89dd-4e9c-bc85-f6b9730432ed","testclasses.HomepageTest","verifya3dfileSearch"
"Verify that the search bar is working and the result is loading.","6659","Search tiff in searchbar","Default Suite","2026-05-06","passed","2026-05-06","testclasses.HomepageTest","TestNGTest-05093de6-89dd-4e9c-bc85-f6b9730432ed","testclasses.HomepageTest","verifytiffileSearch"
"Verify that the content search is working and the result is loading.","2","content search","Default Suite","2026-05-06","broken","2026-05-06","testclasses.HomepageTest","TestNGTest-05093de6-89dd-4e9c-bc85-f6b9730432ed","testclasses.HomepageTest","contentserch"
"Verify that the search bar is working and the result is loading.","7803","Search jpg in searchbar","Default Suite","2026-05-06","passed","2026-05-06","testclasses.HomepageTest","TestNGTest-05093de6-89dd-4e9c-bc85-f6b9730432ed","testclasses.HomepageTest","verifyjpgfileSearch"
"verify user login","124","userLogin","Default Suite","2026-05-06","passed","2026-05-06","testclasses.Rough","TestNGTest-4e8da540-9612-4b2e-8b66-2e299d4d6d4d","testclasses.Rough","userLogin"
"Verify that the search bar is working and the result is loading.","6679","Search dxf in searchbar","Default Suite","2026-05-06","passed","2026-05-06","testclasses.HomepageTest","TestNGTest-05093de6-89dd-4e9c-bc85-f6b9730432ed","testclasses.HomepageTest","verifydxfleSearch"
"Verify that all required icons and links are visible on the main dashboard.","3319","Verify Homepage Icons","Default Suite","2026-05-06","passed","2026-05-06","testclasses.HomepageTest","TestNGTest-05093de6-89dd-4e9c-bc85-f6b9730432ed","testclasses.HomepageTest","verifyHomepage"
"Verify that the search bar is working and the result is loading.","6416","Search docx in searchbar","Default Suite","2026-05-06","passed","2026-05-06","testclasses.HomepageTest","TestNGTest-05093de6-89dd-4e9c-bc85-f6b9730432ed","testclasses.HomepageTest","verifydocxfileSearch"
"Verify that the attribute search is working and the result is loading.","14769","attributesearch","Default Suite","2026-05-06","passed","2026-05-06","testclasses.Rough","TestNGTest-bc8aef6c-2307-4d68-807d-c28e3cbae699","testclasses.Rough","verifyattributesearch"
