"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"Verify that the search bar is working and the result is loading.","6375","Search pptx in searchbar","Default Suite","2026-05-06","passed","2026-05-06","testclasses.HomepageTest","TestNGTest-1974c349-4755-4866-bf8d-e09874148c14","testclasses.HomepageTest","verifypptxfileSearch"
"Verify that the search bar is working and the result is loading.","6512","Search dxf in searchbar","Default Suite","2026-05-06","passed","2026-05-06","testclasses.HomepageTest","TestNGTest-1974c349-4755-4866-bf8d-e09874148c14","testclasses.HomepageTest","verifydxfleSearch"
"Verify that the search bar is working and the result is loading.","6266","Search csv in searchbar","Default Suite","2026-05-06","passed","2026-05-06","testclasses.HomepageTest","TestNGTest-1974c349-4755-4866-bf8d-e09874148c14","testclasses.HomepageTest","verifycsvfileSearch"
"verify user login","149","userLogin","Default Suite","2026-05-06","passed","2026-05-06","testclasses.HomepageTest","TestNGTest-1974c349-4755-4866-bf8d-e09874148c14","testclasses.HomepageTest","userLogin"
"verify company login","1613","CompanyLogin","Default Suite","2026-05-06","passed","2026-05-06","testclasses.HomepageTest","TestNGTest-1974c349-4755-4866-bf8d-e09874148c14","testclasses.HomepageTest","companyLogin"
"Verify that the search bar is working and the result is loading.","6481","Search tiff in searchbar","Default Suite","2026-05-06","passed","2026-05-06","testclasses.HomepageTest","TestNGTest-1974c349-4755-4866-bf8d-e09874148c14","testclasses.HomepageTest","verifytiffileSearch"
"Verify that the search bar is working and the result is loading.","6540","Search dwg in searchbar","Default Suite","2026-05-06","passed","2026-05-06","testclasses.HomepageTest","TestNGTest-1974c349-4755-4866-bf8d-e09874148c14","testclasses.HomepageTest","verifydwgfileSearch"
"Verify that all required icons and links are visible on the main dashboard.","2758","Verify Homepage Icons","Default Suite","2026-05-06","passed","2026-05-06","testclasses.HomepageTest","TestNGTest-1974c349-4755-4866-bf8d-e09874148c14","testclasses.HomepageTest","verifyHomepage"
"Verify that the search bar is working and the result is loading.","6389","Search docx in searchbar","Default Suite","2026-05-06","passed","2026-05-06","testclasses.HomepageTest","TestNGTest-1974c349-4755-4866-bf8d-e09874148c14","testclasses.HomepageTest","verifydocxfileSearch"
"Verify that the search bar is working and the result is loading.","7681","Search a3dasm in searchbar","Default Suite","2026-05-06","passed","2026-05-06","testclasses.HomepageTest","TestNGTest-1974c349-4755-4866-bf8d-e09874148c14","testclasses.HomepageTest","verifya3dfileSearch"
"Verify that the search bar is working and the result is loading.","6735","Search a3dprt in searchbar","Default Suite","2026-05-06","passed","2026-05-06","testclasses.HomepageTest","TestNGTest-1974c349-4755-4866-bf8d-e09874148c14","testclasses.HomepageTest","verifya3dprtfileSearch"
"Verify that the search bar is working and the result is loading.","7797","Search jpg in searchbar","Default Suite","2026-05-06","passed","2026-05-06","testclasses.HomepageTest","TestNGTest-1974c349-4755-4866-bf8d-e09874148c14","testclasses.HomepageTest","verifyjpgfileSearch"
"Verify that the search bar is working and the result is loading.","6419","Search xlsx in searchbar","Default Suite","2026-05-06","passed","2026-05-06","testclasses.HomepageTest","TestNGTest-1974c349-4755-4866-bf8d-e09874148c14","testclasses.HomepageTest","verifyxlsxfileSearch"
"Verify that the search bar is working and the result is loading.","7390","Search pdf in searchbar","Default Suite","2026-05-06","passed","2026-05-06","testclasses.HomepageTest","TestNGTest-1974c349-4755-4866-bf8d-e09874148c14","testclasses.HomepageTest","verifyfileSearch"
"Verify that the attribute search is working and the result is loading.","182","attributesearch","Default Suite","2026-05-06","passed","2026-05-06","testclasses.HomepageTest","TestNGTest-1974c349-4755-4866-bf8d-e09874148c14","testclasses.HomepageTest","verifyattributesearch"
