"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"Verify that the search bar is working and the result is loading.","10424","Search a3dasm in searchbar","packautomation","2026-05-12","passed","2026-05-12","testclasses.HomepageTest","Alfadock Login Test","testclasses.HomepageTest","verifya3dfileSearch"
"Verify that the search bar is working and the result is loading.","6338","Search pptx in searchbar","packautomation","2026-05-12","passed","2026-05-12","testclasses.HomepageTest","Alfadock Login Test","testclasses.HomepageTest","verifypptxfileSearch"
"Verify that the search bar is working and the result is loading.","6291","Search docx in searchbar","packautomation","2026-05-12","passed","2026-05-12","testclasses.HomepageTest","Alfadock Login Test","testclasses.HomepageTest","verifydocxfileSearch"
"Verify that the search bar is working and the result is loading.","15077","Search xlsx in searchbar","packautomation","2026-05-12","passed","2026-05-12","testclasses.HomepageTest","Alfadock Login Test","testclasses.HomepageTest","verifyxlsxfileSearch"
"Verify that the folder checkbox search is working and the result is loading.","32150","Search using Folder Checkbox","packautomation","2026-05-12","broken","2026-05-12","testclasses.HomepageTest","Alfadock Login Test","testclasses.HomepageTest","verifyFolderCheckboxSearch"
"verify user login","138","userLogin","packautomation","2026-05-12","passed","2026-05-12","testclasses.HomepageTest","Alfadock Login Test","testclasses.HomepageTest","userLogin"
"Verify that the search bar is working and the result is loading.","7248","Search a3dprt in searchbar","packautomation","2026-05-12","passed","2026-05-12","testclasses.HomepageTest","Alfadock Login Test","testclasses.HomepageTest","verifya3dprtfileSearch"
"Verify that the content search is working and the result is loading.","13888","content search in searchdropdown","packautomation","2026-05-12","passed","2026-05-12","testclasses.HomepageTest","Alfadock Login Test","testclasses.HomepageTest","contentserch"
"Verify that the search bar is working and the result is loading.","6535","Search dwg in searchbar","packautomation","2026-05-12","passed","2026-05-12","testclasses.HomepageTest","Alfadock Login Test","testclasses.HomepageTest","verifydwgfileSearch"
"Verify that the search bar is working and the result is loading.","8315","Search jpg in searchbar","packautomation","2026-05-12","passed","2026-05-12","testclasses.HomepageTest","Alfadock Login Test","testclasses.HomepageTest","verifyjpgfileSearch"
"Verify that the search bar is working and the result is loading.","7547","Search dxf in searchbar","packautomation","2026-05-12","passed","2026-05-12","testclasses.HomepageTest","Alfadock Login Test","testclasses.HomepageTest","verifydxfleSearch"
"Verify that the search bar is working and the result is loading.","7468","Search csv in searchbar","packautomation","2026-05-12","passed","2026-05-12","testclasses.HomepageTest","Alfadock Login Test","testclasses.HomepageTest","verifycsvfileSearch"
"Verify that the search bar is working and the result is loading.","6959","Search tiff in searchbar","packautomation","2026-05-12","passed","2026-05-12","testclasses.HomepageTest","Alfadock Login Test","testclasses.HomepageTest","verifytiffileSearch"
"Verify that the attribute search is working and the result is loading.","14645","Filename Search in searchdropdown","packautomation","2026-05-12","passed","2026-05-12","testclasses.HomepageTest","Alfadock Login Test","testclasses.HomepageTest","verifyFilenameSearch"
"Verify that the attribute search is working and the result is loading.","17631","attributes search in searchdropdown","packautomation","2026-05-12","broken","2026-05-12","testclasses.HomepageTest","Alfadock Login Test","testclasses.HomepageTest","attributesearch"
"Verify that the search bar is working and the result is loading.","10433","Search pdf in searchbar","packautomation","2026-05-12","broken","2026-05-12","testclasses.HomepageTest","Alfadock Login Test","testclasses.HomepageTest","verifyfileSearch"
"Verify that the file checkbox search is working and the result is loading.","32164","Search using File Checkbox","packautomation","2026-05-12","broken","2026-05-12","testclasses.HomepageTest","Alfadock Login Test","testclasses.HomepageTest","verifyFileCheckboxSearch"
"verify company login","1654","CompanyLogin","packautomation","2026-05-12","passed","2026-05-12","testclasses.HomepageTest","Alfadock Login Test","testclasses.HomepageTest","companyLogin"
"Verify that all required icons and links are visible on the main dashboard.","4088","Verify Homepage Icons","packautomation","2026-05-12","passed","2026-05-12","testclasses.HomepageTest","Alfadock Login Test","testclasses.HomepageTest","verifyHomepage"
