"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"verify company login","1551","CompanyLogin","Surefire suite","2026-05-06","passed","2026-05-06","testclasses.HomepageTest","Surefire test","testclasses.HomepageTest","companyLogin"
"Verify that the search bar is working and the result is loading.","6518","Search pptx in searchbar","Surefire suite","2026-05-06","passed","2026-05-06","testclasses.HomepageTest","Surefire test","testclasses.HomepageTest","verifypptxfileSearch"
"Verify that the attribute search is working and the result is loading.","2168","attributesearch","Surefire suite","2026-05-06","passed","2026-05-06","testclasses.HomepageTest","Surefire test","testclasses.HomepageTest","verifyattributesearch"
"verify user login","151","userLogin","Surefire suite","2026-05-06","passed","2026-05-06","testclasses.HomepageTest","Surefire test","testclasses.HomepageTest","userLogin"
"Verify that the search bar is working and the result is loading.","8341","Search pdf in searchbar","Surefire suite","2026-05-06","passed","2026-05-06","testclasses.HomepageTest","Surefire test","testclasses.HomepageTest","verifyfileSearch"
"Verify that the search bar is working and the result is loading.","7027","Search csv in searchbar","Surefire suite","2026-05-06","passed","2026-05-06","testclasses.HomepageTest","Surefire test","testclasses.HomepageTest","verifycsvfileSearch"
"Verify that the search bar is working and the result is loading.","6668","Search tiff in searchbar","Surefire suite","2026-05-06","passed","2026-05-06","testclasses.HomepageTest","Surefire test","testclasses.HomepageTest","verifytiffileSearch"
"Verify that all required icons and links are visible on the main dashboard.","2074","Verify Homepage Icons","Surefire suite","2026-05-06","passed","2026-05-06","testclasses.HomepageTest","Surefire test","testclasses.HomepageTest","verifyHomepage"
"Verify that the search bar is working and the result is loading.","7213","Search xlsx in searchbar","Surefire suite","2026-05-06","passed","2026-05-06","testclasses.HomepageTest","Surefire test","testclasses.HomepageTest","verifyxlsxfileSearch"
"Verify that the search bar is working and the result is loading.","7271","Search a3dprt in searchbar","Surefire suite","2026-05-06","passed","2026-05-06","testclasses.HomepageTest","Surefire test","testclasses.HomepageTest","verifya3dprtfileSearch"
"Verify that the search bar is working and the result is loading.","7576","Search a3dasm in searchbar","Surefire suite","2026-05-06","passed","2026-05-06","testclasses.HomepageTest","Surefire test","testclasses.HomepageTest","verifya3dfileSearch"
"Verify that the search bar is working and the result is loading.","8223","Search jpg in searchbar","Surefire suite","2026-05-06","passed","2026-05-06","testclasses.HomepageTest","Surefire test","testclasses.HomepageTest","verifyjpgfileSearch"
"Verify that the search bar is working and the result is loading.","6439","Search docx in searchbar","Surefire suite","2026-05-06","passed","2026-05-06","testclasses.HomepageTest","Surefire test","testclasses.HomepageTest","verifydocxfileSearch"
"verify company login","1658","CompanyLogin","Default Suite","2026-05-06","passed","2026-05-06","testclasses.Rough","TestNGTest-33113d0f-fe2b-49e7-9e0d-11ff94eb785f","testclasses.Rough","companyLogin"
"Verify that the attribute search is working and the result is loading.","7710","attributesearch","Default Suite","2026-05-06","failed","2026-05-06","testclasses.Rough","TestNGTest-33113d0f-fe2b-49e7-9e0d-11ff94eb785f","testclasses.Rough","verifyattributesearch"
"Verify that the search bar is working and the result is loading.","6508","Search dwg in searchbar","Surefire suite","2026-05-06","passed","2026-05-06","testclasses.HomepageTest","Surefire test","testclasses.HomepageTest","verifydwgfileSearch"
"verify user login","141","userLogin","Default Suite","2026-05-06","passed","2026-05-06","testclasses.Rough","TestNGTest-33113d0f-fe2b-49e7-9e0d-11ff94eb785f","testclasses.Rough","userLogin"
"Verify that the search bar is working and the result is loading.","6890","Search dxf in searchbar","Surefire suite","2026-05-06","passed","2026-05-06","testclasses.HomepageTest","Surefire test","testclasses.HomepageTest","verifydxfleSearch"
