"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"Verify that the search bar is working and the result is loading.","7948","Search jpg in searchbar","Default Suite","2026-05-06","passed","2026-05-06","testclasses.HomepageTest","TestNGTest-c7fd838a-226a-49fd-8428-f5e56a417784","testclasses.HomepageTest","verifyjpgfileSearch"
"Verify that the search bar is working and the result is loading.","6794","Search a3dprt in searchbar","Default Suite","2026-05-06","passed","2026-05-06","testclasses.HomepageTest","TestNGTest-c7fd838a-226a-49fd-8428-f5e56a417784","testclasses.HomepageTest","verifya3dprtfileSearch"
"Verify that the search bar is working and the result is loading.","6692","Search tiff in searchbar","Default Suite","2026-05-06","passed","2026-05-06","testclasses.HomepageTest","TestNGTest-c7fd838a-226a-49fd-8428-f5e56a417784","testclasses.HomepageTest","verifytiffileSearch"
"Verify that the search bar is working and the result is loading.","6325","Search docx in searchbar","Default Suite","2026-05-06","passed","2026-05-06","testclasses.HomepageTest","TestNGTest-c7fd838a-226a-49fd-8428-f5e56a417784","testclasses.HomepageTest","verifydocxfileSearch"
"Verify that the attribute search is working and the result is loading.","30106","attributesearch","Default Suite","2026-05-06","broken","2026-05-06","testclasses.HomepageTest","TestNGTest-c7fd838a-226a-49fd-8428-f5e56a417784","testclasses.HomepageTest","verifyattributesearch"
"Verify that the search bar is working and the result is loading.","7676","Search a3dasm in searchbar","Default Suite","2026-05-06","passed","2026-05-06","testclasses.HomepageTest","TestNGTest-c7fd838a-226a-49fd-8428-f5e56a417784","testclasses.HomepageTest","verifya3dfileSearch"
"Verify that the search bar is working and the result is loading.","6324","Search csv in searchbar","Default Suite","2026-05-06","passed","2026-05-06","testclasses.HomepageTest","TestNGTest-c7fd838a-226a-49fd-8428-f5e56a417784","testclasses.HomepageTest","verifycsvfileSearch"
"verify company login","1649","CompanyLogin","Default Suite","2026-05-06","passed","2026-05-06","testclasses.HomepageTest","TestNGTest-c7fd838a-226a-49fd-8428-f5e56a417784","testclasses.HomepageTest","companyLogin"
"Verify that the search bar is working and the result is loading.","7131","Search dwg in searchbar","Default Suite","2026-05-06","passed","2026-05-06","testclasses.HomepageTest","TestNGTest-c7fd838a-226a-49fd-8428-f5e56a417784","testclasses.HomepageTest","verifydwgfileSearch"
"Verify that the search bar is working and the result is loading.","6392","Search pptx in searchbar","Default Suite","2026-05-06","passed","2026-05-06","testclasses.HomepageTest","TestNGTest-c7fd838a-226a-49fd-8428-f5e56a417784","testclasses.HomepageTest","verifypptxfileSearch"
"Verify that the search bar is working and the result is loading.","6576","Search dxf in searchbar","Default Suite","2026-05-06","passed","2026-05-06","testclasses.HomepageTest","TestNGTest-c7fd838a-226a-49fd-8428-f5e56a417784","testclasses.HomepageTest","verifydxfleSearch"
"Verify that the search bar is working and the result is loading.","6648","Search xlsx in searchbar","Default Suite","2026-05-06","passed","2026-05-06","testclasses.HomepageTest","TestNGTest-c7fd838a-226a-49fd-8428-f5e56a417784","testclasses.HomepageTest","verifyxlsxfileSearch"
"Verify that the search bar is working and the result is loading.","7417","Search pdf in searchbar","Default Suite","2026-05-06","passed","2026-05-06","testclasses.HomepageTest","TestNGTest-c7fd838a-226a-49fd-8428-f5e56a417784","testclasses.HomepageTest","verifyfileSearch"
"Verify that all required icons and links are visible on the main dashboard.","3231","Verify Homepage Icons","Default Suite","2026-05-06","passed","2026-05-06","testclasses.HomepageTest","TestNGTest-c7fd838a-226a-49fd-8428-f5e56a417784","testclasses.HomepageTest","verifyHomepage"
"verify user login","116","userLogin","Default Suite","2026-05-06","passed","2026-05-06","testclasses.HomepageTest","TestNGTest-c7fd838a-226a-49fd-8428-f5e56a417784","testclasses.HomepageTest","userLogin"
