"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"Verify that the search bar is working and the result is loading.","6889","Search xlsx in searchbar","Default Suite","2026-05-06","passed","2026-05-06","testclasses.HomepageTest","TestNGTest-b5b58965-dc5c-420b-af5d-f5e4e3afcbe3","testclasses.HomepageTest","verifyxlsxfileSearch"
"Verify that the search bar is working and the result is loading.","6779","Search dxf in searchbar","Default Suite","2026-05-06","passed","2026-05-06","testclasses.HomepageTest","TestNGTest-b5b58965-dc5c-420b-af5d-f5e4e3afcbe3","testclasses.HomepageTest","verifydxfleSearch"
"Verify that the search bar is working and the result is loading.","6416","Search docx in searchbar","Default Suite","2026-05-06","passed","2026-05-06","testclasses.HomepageTest","TestNGTest-b5b58965-dc5c-420b-af5d-f5e4e3afcbe3","testclasses.HomepageTest","verifydocxfileSearch"
"Verify that the search bar is working and the result is loading.","6512","Search tiff in searchbar","Default Suite","2026-05-06","passed","2026-05-06","testclasses.HomepageTest","TestNGTest-b5b58965-dc5c-420b-af5d-f5e4e3afcbe3","testclasses.HomepageTest","verifytiffileSearch"
"Verify that the search bar is working and the result is loading.","6340","Search pptx in searchbar","Default Suite","2026-05-06","passed","2026-05-06","testclasses.HomepageTest","TestNGTest-b5b58965-dc5c-420b-af5d-f5e4e3afcbe3","testclasses.HomepageTest","verifypptxfileSearch"
"Verify that the search bar is working and the result is loading.","6818","Search a3dprt in searchbar","Default Suite","2026-05-06","passed","2026-05-06","testclasses.HomepageTest","TestNGTest-b5b58965-dc5c-420b-af5d-f5e4e3afcbe3","testclasses.HomepageTest","verifya3dprtfileSearch"
"Verify that the search bar is working and the result is loading.","8310","Search pdf in searchbar","Default Suite","2026-05-06","passed","2026-05-06","testclasses.HomepageTest","TestNGTest-b5b58965-dc5c-420b-af5d-f5e4e3afcbe3","testclasses.HomepageTest","verifyfileSearch"
"Verify that the search bar is working and the result is loading.","8238","Search jpg in searchbar","Default Suite","2026-05-06","passed","2026-05-06","testclasses.HomepageTest","TestNGTest-b5b58965-dc5c-420b-af5d-f5e4e3afcbe3","testclasses.HomepageTest","verifyjpgfileSearch"
"verify company login","1573","CompanyLogin","Default Suite","2026-05-06","passed","2026-05-06","testclasses.HomepageTest","TestNGTest-b5b58965-dc5c-420b-af5d-f5e4e3afcbe3","testclasses.HomepageTest","companyLogin"
"Verify that the search bar is working and the result is loading.","6513","Search dwg in searchbar","Default Suite","2026-05-06","passed","2026-05-06","testclasses.HomepageTest","TestNGTest-b5b58965-dc5c-420b-af5d-f5e4e3afcbe3","testclasses.HomepageTest","verifydwgfileSearch"
"verify user login","142","userLogin","Default Suite","2026-05-06","passed","2026-05-06","testclasses.HomepageTest","TestNGTest-b5b58965-dc5c-420b-af5d-f5e4e3afcbe3","testclasses.HomepageTest","userLogin"
"Verify that all required icons and links are visible on the main dashboard.","2848","Verify Homepage Icons","Default Suite","2026-05-06","passed","2026-05-06","testclasses.HomepageTest","TestNGTest-b5b58965-dc5c-420b-af5d-f5e4e3afcbe3","testclasses.HomepageTest","verifyHomepage"
"Verify that the search bar is working and the result is loading.","6315","Search csv in searchbar","Default Suite","2026-05-06","passed","2026-05-06","testclasses.HomepageTest","TestNGTest-b5b58965-dc5c-420b-af5d-f5e4e3afcbe3","testclasses.HomepageTest","verifycsvfileSearch"
"Verify that the search bar is working and the result is loading.","7757","Search a3dasm in searchbar","Default Suite","2026-05-06","passed","2026-05-06","testclasses.HomepageTest","TestNGTest-b5b58965-dc5c-420b-af5d-f5e4e3afcbe3","testclasses.HomepageTest","verifya3dfileSearch"
"Verify that the attribute search is working and the result is loading.","15333","attributesearch","Default Suite","2026-05-06","broken","2026-05-06","testclasses.HomepageTest","TestNGTest-b5b58965-dc5c-420b-af5d-f5e4e3afcbe3","testclasses.HomepageTest","verifyattributesearch"
