"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"Verify that the attribute search is working and the result is loading.","34176","attributes search in searchdropdown","Default Suite","2026-05-07","broken","2026-05-07","testclasses.HomepageTest","TestNGTest-6c11f4d2-0a6b-4682-bc78-97fc801637df","testclasses.HomepageTest","attributesearch"
"verify company login","2162","CompanyLogin","Default Suite","2026-05-07","passed","2026-05-07","testclasses.HomepageTest","TestNGTest-6c11f4d2-0a6b-4682-bc78-97fc801637df","testclasses.HomepageTest","companyLogin"
"Verify that the search bar is working and the result is loading.","7407","Search docx in searchbar","Default Suite","2026-05-07","passed","2026-05-07","testclasses.HomepageTest","TestNGTest-6c11f4d2-0a6b-4682-bc78-97fc801637df","testclasses.HomepageTest","verifydocxfileSearch"
"Verify that the search bar is working and the result is loading.","6980","Search pptx in searchbar","Default Suite","2026-05-07","passed","2026-05-07","testclasses.HomepageTest","TestNGTest-6c11f4d2-0a6b-4682-bc78-97fc801637df","testclasses.HomepageTest","verifypptxfileSearch"
"Verify that the attribute search is working and the result is loading.","36222","attribute search","Default Suite","2026-05-06","broken","2026-05-06","testclasses.HomepageTest","TestNGTest-ede25240-6853-4bc2-9480-9ac534d65bed","testclasses.HomepageTest","verifyAttributeSearch"
"Verify that the attribute search is working and the result is loading.","32180","attributesearch","Default Suite","2026-05-06","broken","2026-05-06","testclasses.HomepageTest","TestNGTest-d46b1ab4-f479-43b6-841f-dd53d51d550a","testclasses.HomepageTest","verifyattributesearch"
"verify user login","141","userLogin","Default Suite","2026-05-07","passed","2026-05-07","testclasses.HomepageTest","TestNGTest-6c11f4d2-0a6b-4682-bc78-97fc801637df","testclasses.HomepageTest","userLogin"
"Verify that all required icons and links are visible on the main dashboard.","4258","Verify Homepage Icons","Default Suite","2026-05-07","passed","2026-05-07","testclasses.HomepageTest","TestNGTest-6c11f4d2-0a6b-4682-bc78-97fc801637df","testclasses.HomepageTest","verifyHomepage"
"verify company login","1641","CompanyLogin","Default Suite","2026-05-07","passed","2026-05-07","testclasses.Rough","TestNGTest-32aebca4-70f4-4853-98e1-f9c3fee67a38","testclasses.Rough","companyLogin"
"Verify that the search bar is working and the result is loading.","6962","Search csv in searchbar","Default Suite","2026-05-07","passed","2026-05-07","testclasses.HomepageTest","TestNGTest-6c11f4d2-0a6b-4682-bc78-97fc801637df","testclasses.HomepageTest","verifycsvfileSearch"
