"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"Verify that the search bar is working and the result is loading.","8794","Search csv in searchbar","Default suite","2026-06-07","passed","2026-06-07","testclasses.HomepageTest","Default test","testclasses.HomepageTest","verifycsvfileSearch"
"verify user login","206","userLogin","Default suite","2026-06-07","passed","2026-06-07","testclasses.HomepageTest","Default test","testclasses.HomepageTest","userLogin"
"Verify that the file checkbox search is working and the result is loading.","21054","Search using File Checkbox","Default suite","2026-06-07","broken","2026-06-07","testclasses.HomepageTest","Default test","testclasses.HomepageTest","verifyFileCheckboxSearch"
"Verify that the file checkbox search is working and the result is loading.","4","Search using File Checkbox","Default Suite","2026-05-22","unknown","2026-05-22","testclasses.Rough","TestNGTest-d57df388-d5b4-449c-ab12-1f230df08527","testclasses.Rough","verifyFileCheckboxSearch"
"Verify verify root Folder Navigation in search bar is working and page is redirected to correct page.","19950","verify root Folder Navigation in search bar","Default Suite","2026-05-22","passed","2026-05-22","testclasses.Rough","TestNGTest-e7ca400c-8e8e-4580-ae22-52e0b474601e","testclasses.Rough","verifyFolderCheckboxSearch"
"Verify verify root Folder Navigation in search bar is working and page is redirected to correct page.","15193","verify root Folder Navigation in search bar","Default suite","2026-06-07","passed","2026-06-07","testclasses.HomepageTest","Default test","testclasses.HomepageTest","verifyRootFolderNavigation"
"Verify that the search bar is working and the result is loading.","13479","Search a3dasm in searchbar","Default suite","2026-06-07","passed","2026-06-07","testclasses.HomepageTest","Default test","testclasses.HomepageTest","verifya3dfileSearch"
"Verify that the search bar is working and the result is loading.","9835","Search xlsx in searchbar","Default suite","2026-06-07","passed","2026-06-07","testclasses.HomepageTest","Default test","testclasses.HomepageTest","verifyxlsxfileSearch"
"Verify that the search bar is working and the result is loading.","9865","Search docx in searchbar","Default suite","2026-06-07","passed","2026-06-07","testclasses.HomepageTest","Default test","testclasses.HomepageTest","verifydocxfileSearch"
"Verify that the content search is working and the result is loading.","15271","content search in searchdropdown","Default suite","2026-06-07","passed","2026-06-07","testclasses.HomepageTest","Default test","testclasses.HomepageTest","contentserch"
"verify company login","3872","CompanyLogin","Default suite","2026-06-07","passed","2026-06-07","testclasses.HomepageTest","Default test","testclasses.HomepageTest","companyLogin"
"Verify that the search bar is working and the result is loading.","10302","Search dxf in searchbar","Default suite","2026-06-07","passed","2026-06-07","testclasses.HomepageTest","Default test","testclasses.HomepageTest","verifydxfleSearch"
"Verify that the folder checkbox search is working and the result is loading.","31211","Search using Folder Checkbox","Default suite","2026-06-07","skipped","2026-06-07","testclasses.HomepageTest","Default test","testclasses.HomepageTest","verifyFolderCheckboxSearch"
"Verify that the attribute search is working and the result is loading.","14536","Filename Search in searchdropdown","Default suite","2026-06-07","passed","2026-06-07","testclasses.HomepageTest","Default test","testclasses.HomepageTest","verifyFilenameSearch"
"Verify that all required icons and links are visible on the main dashboard.","8827","Verify Homepage Icons","Default suite","2026-06-07","passed","2026-06-07","testclasses.HomepageTest","Default test","testclasses.HomepageTest","verifyHomepage"
"Verify that the search bar is working and the result is loading.","10030","Search jpg in searchbar","Default suite","2026-06-07","passed","2026-06-07","testclasses.HomepageTest","Default test","testclasses.HomepageTest","verifyjpgfileSearch"
"Verify that the attribute search is working and the result is loading.","36226","attributes search in searchdropdown","Default suite","2026-06-07","skipped","2026-06-07","testclasses.HomepageTest","Default test","testclasses.HomepageTest","attributesearch"
"verify user login","501","userLogin","Default Suite","2026-05-22","passed","2026-05-22","testclasses.Rough","TestNGTest-e7ca400c-8e8e-4580-ae22-52e0b474601e","testclasses.Rough","userLogin"
"Verify that the search bar is working and the result is loading.","9692","Search dwg in searchbar","Default suite","2026-06-07","passed","2026-06-07","testclasses.HomepageTest","Default test","testclasses.HomepageTest","verifydwgfileSearch"
"Verify that the search bar is working and the result is loading.","10264","Search a3dprt in searchbar","Default suite","2026-06-07","passed","2026-06-07","testclasses.HomepageTest","Default test","testclasses.HomepageTest","verifya3dprtfileSearch"
"Verify that the search bar is working and the result is loading.","10674","Search tiff in searchbar","Default suite","2026-06-07","passed","2026-06-07","testclasses.HomepageTest","Default test","testclasses.HomepageTest","verifytiffileSearch"
"Verify that the search bar is working and the result is loading.","11215","Search pdf in searchbar","Default suite","2026-06-07","passed","2026-06-07","testclasses.HomepageTest","Default test","testclasses.HomepageTest","verifyfileSearch"
"verify company login","6760","CompanyLogin","Default Suite","2026-05-22","passed","2026-05-22","testclasses.Rough","TestNGTest-e7ca400c-8e8e-4580-ae22-52e0b474601e","testclasses.Rough","companyLogin"
"Verify that the search bar is working and the result is loading.","9171","Search pptx in searchbar","Default suite","2026-06-07","passed","2026-06-07","testclasses.HomepageTest","Default test","testclasses.HomepageTest","verifypptxfileSearch"
