"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"verify company login","1628","CompanyLogin","Default Suite","2026-05-06","passed","2026-05-06","testclasses.Rough","TestNGTest-66eecd6a-fa55-4e71-a040-da79c4593e11","testclasses.Rough","companyLogin"
"Verify that the search bar is working and the result is loading.","155","Search xlsx in searchbar","Default Suite","2026-05-06","broken","2026-05-06","testclasses.HomepageTest","TestNGTest-b2f1300c-6246-40e6-a66a-7f8fb0da5a13","testclasses.HomepageTest","verifyxlsxfileSearch"
"Verify that the attribute search is working and the result is loading.","10351","attributesearch","Default Suite","2026-05-06","broken","2026-05-06","testclasses.Rough","TestNGTest-66eecd6a-fa55-4e71-a040-da79c4593e11","testclasses.Rough","verifyattributesearch"
"Verify that the search bar is working and the result is loading.","333","Search pdf in searchbar","Default Suite","2026-05-06","broken","2026-05-06","testclasses.HomepageTest","TestNGTest-b2f1300c-6246-40e6-a66a-7f8fb0da5a13","testclasses.HomepageTest","verifyfileSearch"
"verify company login","1491","CompanyLogin","Default Suite","2026-05-06","passed","2026-05-06","testclasses.HomepageTest","TestNGTest-b2f1300c-6246-40e6-a66a-7f8fb0da5a13","testclasses.HomepageTest","companyLogin"
"Verify that the search bar is working and the result is loading.","213","Search jpg in searchbar","Default Suite","2026-05-06","broken","2026-05-06","testclasses.HomepageTest","TestNGTest-b2f1300c-6246-40e6-a66a-7f8fb0da5a13","testclasses.HomepageTest","verifyjpgfileSearch"
"Verify that the search bar is working and the result is loading.","278","Search csv in searchbar","Default Suite","2026-05-06","broken","2026-05-06","testclasses.HomepageTest","TestNGTest-b2f1300c-6246-40e6-a66a-7f8fb0da5a13","testclasses.HomepageTest","verifycsvfileSearch"
"Verify that the search bar is working and the result is loading.","177","Search a3dprt in searchbar","Default Suite","2026-05-06","broken","2026-05-06","testclasses.HomepageTest","TestNGTest-b2f1300c-6246-40e6-a66a-7f8fb0da5a13","testclasses.HomepageTest","verifya3dprtfileSearch"
"Verify that the search bar is working and the result is loading.","242","Search docx in searchbar","Default Suite","2026-05-06","broken","2026-05-06","testclasses.HomepageTest","TestNGTest-b2f1300c-6246-40e6-a66a-7f8fb0da5a13","testclasses.HomepageTest","verifydocxfileSearch"
"Verify that the search bar is working and the result is loading.","196","Search pptx in searchbar","Default Suite","2026-05-06","broken","2026-05-06","testclasses.HomepageTest","TestNGTest-b2f1300c-6246-40e6-a66a-7f8fb0da5a13","testclasses.HomepageTest","verifypptxfileSearch"
"Verify that the search bar is working and the result is loading.","167","Search dxf in searchbar","Default Suite","2026-05-06","broken","2026-05-06","testclasses.HomepageTest","TestNGTest-b2f1300c-6246-40e6-a66a-7f8fb0da5a13","testclasses.HomepageTest","verifydxfleSearch"
"Verify that the search bar is working and the result is loading.","304","Search dwg in searchbar","Default Suite","2026-05-06","broken","2026-05-06","testclasses.HomepageTest","TestNGTest-b2f1300c-6246-40e6-a66a-7f8fb0da5a13","testclasses.HomepageTest","verifydwgfileSearch"
"Verify that the attribute search is working and the result is loading.","7293","attributesearch","Default Suite","2026-05-06","broken","2026-05-06","testclasses.HomepageTest","TestNGTest-b2f1300c-6246-40e6-a66a-7f8fb0da5a13","testclasses.HomepageTest","verifyattributesearch"
"verify user login","117","userLogin","Default Suite","2026-05-06","passed","2026-05-06","testclasses.Rough","TestNGTest-66eecd6a-fa55-4e71-a040-da79c4593e11","testclasses.Rough","userLogin"
"Verify that the search bar is working and the result is loading.","218","Search tiff in searchbar","Default Suite","2026-05-06","broken","2026-05-06","testclasses.HomepageTest","TestNGTest-b2f1300c-6246-40e6-a66a-7f8fb0da5a13","testclasses.HomepageTest","verifytiffileSearch"
"Verify that all required icons and links are visible on the main dashboard.","4346","Verify Homepage Icons","Default Suite","2026-05-06","passed","2026-05-06","testclasses.HomepageTest","TestNGTest-b2f1300c-6246-40e6-a66a-7f8fb0da5a13","testclasses.HomepageTest","verifyHomepage"
"verify user login","118","userLogin","Default Suite","2026-05-06","passed","2026-05-06","testclasses.HomepageTest","TestNGTest-b2f1300c-6246-40e6-a66a-7f8fb0da5a13","testclasses.HomepageTest","userLogin"
"Verify that the search bar is working and the result is loading.","188","Search a3dasm in searchbar","Default Suite","2026-05-06","broken","2026-05-06","testclasses.HomepageTest","TestNGTest-b2f1300c-6246-40e6-a66a-7f8fb0da5a13","testclasses.HomepageTest","verifya3dfileSearch"
