"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"Verify that the attribute search is working and the result is loading.","2","attributesearch","packautomation","2026-05-06","broken","2026-05-06","testclasses.HomepageTest","Alfadock Login Test","testclasses.HomepageTest","verifyattributesearch"
"Verify that the search bar is working and the result is loading.","30018","Search pdf in searchbar","packautomation","2026-05-06","broken","2026-05-06","testclasses.HomepageTest","Alfadock Login Test","testclasses.HomepageTest","verifyfileSearch"
"verify company login","1642","CompanyLogin","Surefire suite","2026-05-06","passed","2026-05-06","testclasses.HomepageTest","Surefire test","testclasses.HomepageTest","companyLogin"
"Verify that the search bar is working and the result is loading.","3","Search dxf in searchbar","packautomation","2026-05-06","broken","2026-05-06","testclasses.HomepageTest","Alfadock Login Test","testclasses.HomepageTest","verifydxfleSearch"
"Verify that the search bar is working and the result is loading.","7645","Search jpg in searchbar","packautomation","2026-05-06","broken","2026-05-06","testclasses.HomepageTest","Alfadock Login Test","testclasses.HomepageTest","verifyjpgfileSearch"
"verify user login","30222","userLogin","packautomation","2026-05-06","broken","2026-05-06","testclasses.HomepageTest","Alfadock Login Test","testclasses.HomepageTest","userLogin"
"Verify that the search bar is working and the result is loading.","2","Search xlsx in searchbar","packautomation","2026-05-06","broken","2026-05-06","testclasses.HomepageTest","Alfadock Login Test","testclasses.HomepageTest","verifyxlsxfileSearch"
"Verify that the search bar is working and the result is loading.","5","Search tiff in searchbar","packautomation","2026-05-06","broken","2026-05-06","testclasses.HomepageTest","Alfadock Login Test","testclasses.HomepageTest","verifytiffileSearch"
"Verify that all required icons and links are visible on the main dashboard.","7052","Verify Homepage Icons","packautomation","2026-05-06","failed","2026-05-06","testclasses.HomepageTest","Alfadock Login Test","testclasses.HomepageTest","verifyHomepage"
"Verify that the search bar is working and the result is loading.","30011","Search a3dasm in searchbar","packautomation","2026-05-06","broken","2026-05-06","testclasses.HomepageTest","Alfadock Login Test","testclasses.HomepageTest","verifya3dfileSearch"
"Verify that the search bar is working and the result is loading.","4","Search docx in searchbar","packautomation","2026-05-06","broken","2026-05-06","testclasses.HomepageTest","Alfadock Login Test","testclasses.HomepageTest","verifydocxfileSearch"
"verify company login","1658","CompanyLogin","Default Suite","2026-05-06","passed","2026-05-06","testclasses.Rough","TestNGTest-33113d0f-fe2b-49e7-9e0d-11ff94eb785f","testclasses.Rough","companyLogin"
"Verify that the search bar is working and the result is loading.","4","Search dwg in searchbar","packautomation","2026-05-06","broken","2026-05-06","testclasses.HomepageTest","Alfadock Login Test","testclasses.HomepageTest","verifydwgfileSearch"
"Verify that the search bar is working and the result is loading.","3","Search csv in searchbar","packautomation","2026-05-06","broken","2026-05-06","testclasses.HomepageTest","Alfadock Login Test","testclasses.HomepageTest","verifycsvfileSearch"
"verify user login","141","userLogin","Default Suite","2026-05-06","passed","2026-05-06","testclasses.Rough","TestNGTest-33113d0f-fe2b-49e7-9e0d-11ff94eb785f","testclasses.Rough","userLogin"
"Verify that the search bar is working and the result is loading.","30012","Search a3dprt in searchbar","packautomation","2026-05-06","broken","2026-05-06","testclasses.HomepageTest","Alfadock Login Test","testclasses.HomepageTest","verifya3dprtfileSearch"
"Verify that the search bar is working and the result is loading.","3","Search pptx in searchbar","packautomation","2026-05-06","broken","2026-05-06","testclasses.HomepageTest","Alfadock Login Test","testclasses.HomepageTest","verifypptxfileSearch"
"Verify that the attribute search is working and the result is loading.","7710","attributesearch","Default Suite","2026-05-06","failed","2026-05-06","testclasses.Rough","TestNGTest-33113d0f-fe2b-49e7-9e0d-11ff94eb785f","testclasses.Rough","verifyattributesearch"
