"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"Verify that the search bar is working and the result is loading.","10739","Search pdf in searchbar","Default Suite","2026-05-06","broken","2026-05-06","testclasses.HomepageTest","TestNGTest-4ca55707-cc70-4e64-b29b-fde22a4f815d","testclasses.HomepageTest","verifyfileSearch"
"Verify that all required icons and links are visible on the main dashboard.","4346","Verify Homepage Icons","Default Suite","2026-05-06","passed","2026-05-06","testclasses.HomepageTest","TestNGTest-4ca55707-cc70-4e64-b29b-fde22a4f815d","testclasses.HomepageTest","verifyHomepage"
"verify company login","1637","CompanyLogin","Default Suite","2026-05-06","passed","2026-05-06","testclasses.Rough","TestNGTest-39506f6d-6221-4243-a0ed-7ef8709e5008","testclasses.Rough","companyLogin"
"Verify that the search bar is working and the result is loading.","4574","Search a3dasm in searchbar","Default Suite","2026-05-06","broken","2026-05-06","testclasses.HomepageTest","TestNGTest-4ca55707-cc70-4e64-b29b-fde22a4f815d","testclasses.HomepageTest","verifya3dfileSearch"
"Verify that the search bar is working and the result is loading.","3763","Search dxf in searchbar","Default Suite","2026-05-06","broken","2026-05-06","testclasses.HomepageTest","TestNGTest-4ca55707-cc70-4e64-b29b-fde22a4f815d","testclasses.HomepageTest","verifydxfleSearch"
"Verify that the search bar is working and the result is loading.","5375","Search jpg in searchbar","Default Suite","2026-05-06","broken","2026-05-06","testclasses.HomepageTest","TestNGTest-4ca55707-cc70-4e64-b29b-fde22a4f815d","testclasses.HomepageTest","verifyjpgfileSearch"
"Verify that the search bar is working and the result is loading.","3304","Search docx in searchbar","Default Suite","2026-05-06","broken","2026-05-06","testclasses.HomepageTest","TestNGTest-4ca55707-cc70-4e64-b29b-fde22a4f815d","testclasses.HomepageTest","verifydocxfileSearch"
"Verify that the search bar is working and the result is loading.","3283","Search dwg in searchbar","Default Suite","2026-05-06","broken","2026-05-06","testclasses.HomepageTest","TestNGTest-4ca55707-cc70-4e64-b29b-fde22a4f815d","testclasses.HomepageTest","verifydwgfileSearch"
"Verify that the search bar is working and the result is loading.","3226","Search pptx in searchbar","Default Suite","2026-05-06","broken","2026-05-06","testclasses.HomepageTest","TestNGTest-4ca55707-cc70-4e64-b29b-fde22a4f815d","testclasses.HomepageTest","verifypptxfileSearch"
"Verify that the search bar is working and the result is loading.","3119","Search xlsx in searchbar","Default Suite","2026-05-06","broken","2026-05-06","testclasses.HomepageTest","TestNGTest-4ca55707-cc70-4e64-b29b-fde22a4f815d","testclasses.HomepageTest","verifyxlsxfileSearch"
"Verify that the search bar is working and the result is loading.","3171","Search tiff in searchbar","Default Suite","2026-05-06","broken","2026-05-06","testclasses.HomepageTest","TestNGTest-4ca55707-cc70-4e64-b29b-fde22a4f815d","testclasses.HomepageTest","verifytiffileSearch"
"Verify that the search bar is working and the result is loading.","3733","Search a3dprt in searchbar","Default Suite","2026-05-06","broken","2026-05-06","testclasses.HomepageTest","TestNGTest-4ca55707-cc70-4e64-b29b-fde22a4f815d","testclasses.HomepageTest","verifya3dprtfileSearch"
"Verify that the attribute search is working and the result is loading.","19834","attributesearch","Default Suite","2026-05-06","passed","2026-05-06","testclasses.HomepageTest","TestNGTest-4ca55707-cc70-4e64-b29b-fde22a4f815d","testclasses.HomepageTest","verifyattributesearch"
"verify user login","121","userLogin","Default Suite","2026-05-06","passed","2026-05-06","testclasses.HomepageTest","TestNGTest-4ca55707-cc70-4e64-b29b-fde22a4f815d","testclasses.HomepageTest","userLogin"
"Verify that the attribute search is working and the result is loading.","16060","attributesearch","Default Suite","2026-05-06","passed","2026-05-06","testclasses.Rough","TestNGTest-39506f6d-6221-4243-a0ed-7ef8709e5008","testclasses.Rough","verifyattributesearch"
"Verify that the search bar is working and the result is loading.","3605","Search csv in searchbar","Default Suite","2026-05-06","broken","2026-05-06","testclasses.HomepageTest","TestNGTest-4ca55707-cc70-4e64-b29b-fde22a4f815d","testclasses.HomepageTest","verifycsvfileSearch"
"verify user login","130","userLogin","Default Suite","2026-05-06","passed","2026-05-06","testclasses.Rough","TestNGTest-39506f6d-6221-4243-a0ed-7ef8709e5008","testclasses.Rough","userLogin"
"verify company login","2049","CompanyLogin","Default Suite","2026-05-06","passed","2026-05-06","testclasses.HomepageTest","TestNGTest-4ca55707-cc70-4e64-b29b-fde22a4f815d","testclasses.HomepageTest","companyLogin"
