"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"Verify that the search bar is working and the result is loading.","6437","Search docx in searchbar","Default Suite","2026-05-04","passed","2026-05-04","testclasses.HomepageTest","TestNGTest-ae0a1526-7a6b-48bf-b7b5-31a45ec9f882","testclasses.HomepageTest","verifydocxfileSearch"
"Verify that all required icons and links are visible on the main dashboard.","4164","Verify Homepage Icons","Default Suite","2026-05-04","passed","2026-05-04","testclasses.HomepageTest","TestNGTest-ae0a1526-7a6b-48bf-b7b5-31a45ec9f882","testclasses.HomepageTest","verifyHomepage"
"Verify that the search bar is working and the result is loading.","7237","Search xlsx in searchbar","Default Suite","2026-05-04","passed","2026-05-04","testclasses.HomepageTest","TestNGTest-ae0a1526-7a6b-48bf-b7b5-31a45ec9f882","testclasses.HomepageTest","verifyxlsxfileSearch"
"Verify that the search bar is working and the result is loading.","7816","Search a3dasm in searchbar","Default Suite","2026-05-04","passed","2026-05-04","testclasses.HomepageTest","TestNGTest-ae0a1526-7a6b-48bf-b7b5-31a45ec9f882","testclasses.HomepageTest","verifya3dfileSearch"
"Verify that the search bar is working and the result is loading.","7186","Search tiff in searchbar","Default Suite","2026-05-04","passed","2026-05-04","testclasses.HomepageTest","TestNGTest-ae0a1526-7a6b-48bf-b7b5-31a45ec9f882","testclasses.HomepageTest","verifytiffileSearch"
"verify company login","1688","CompanyLogin","Default Suite","2026-05-04","passed","2026-05-04","testclasses.HomepageTest","TestNGTest-ae0a1526-7a6b-48bf-b7b5-31a45ec9f882","testclasses.HomepageTest","companyLogin"
"verify user login","127","userLogin","Default Suite","2026-05-04","passed","2026-05-04","testclasses.HomepageTest","TestNGTest-ae0a1526-7a6b-48bf-b7b5-31a45ec9f882","testclasses.HomepageTest","userLogin"
"Verify that the search bar is working and the result is loading.","6862","Search dxf in searchbar","Default Suite","2026-05-04","passed","2026-05-04","testclasses.HomepageTest","TestNGTest-ae0a1526-7a6b-48bf-b7b5-31a45ec9f882","testclasses.HomepageTest","verifydxfleSearch"
"Verify that the search bar is working and the result is loading.","7275","Search pdf in searchbar","Default Suite","2026-05-04","passed","2026-05-04","testclasses.HomepageTest","TestNGTest-ae0a1526-7a6b-48bf-b7b5-31a45ec9f882","testclasses.HomepageTest","verifyfileSearch"
"Verify that the search bar is working and the result is loading.","6978","Search pptx in searchbar","Default Suite","2026-05-04","passed","2026-05-04","testclasses.HomepageTest","TestNGTest-ae0a1526-7a6b-48bf-b7b5-31a45ec9f882","testclasses.HomepageTest","verifypptxfileSearch"
"Verify that the search bar is working and the result is loading.","6734","Search a3dprt in searchbar","Default Suite","2026-05-04","passed","2026-05-04","testclasses.HomepageTest","TestNGTest-ae0a1526-7a6b-48bf-b7b5-31a45ec9f882","testclasses.HomepageTest","verifya3dprtfileSearch"
"Verify that the search bar is working and the result is loading.","2580","Search csv in searchbar","Default Suite","2026-05-04","broken","2026-05-04","testclasses.HomepageTest","TestNGTest-ae0a1526-7a6b-48bf-b7b5-31a45ec9f882","testclasses.HomepageTest","verifycsvfileSearch"
"Verify that the search bar is working and the result is loading.","6631","Search dwg in searchbar","Default Suite","2026-05-04","passed","2026-05-04","testclasses.HomepageTest","TestNGTest-ae0a1526-7a6b-48bf-b7b5-31a45ec9f882","testclasses.HomepageTest","verifydwgfileSearch"
"Verify that the search bar is working and the result is loading.","7732","Search jpg in searchbar","Default Suite","2026-05-04","passed","2026-05-04","testclasses.HomepageTest","TestNGTest-ae0a1526-7a6b-48bf-b7b5-31a45ec9f882","testclasses.HomepageTest","verifyjpgfileSearch"
