"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"verify company login","1637","CompanyLogin","Default Suite","2026-05-06","passed","2026-05-06","testclasses.Rough","TestNGTest-39506f6d-6221-4243-a0ed-7ef8709e5008","testclasses.Rough","companyLogin"
"Verify that the search bar is working and the result is loading.","7709","Search pdf in searchbar","Default Suite","2026-05-06","passed","2026-05-06","testclasses.HomepageTest","TestNGTest-d46b1ab4-f479-43b6-841f-dd53d51d550a","testclasses.HomepageTest","verifyfileSearch"
"Verify that the attribute search is working and the result is loading.","32180","attributesearch","Default Suite","2026-05-06","broken","2026-05-06","testclasses.HomepageTest","TestNGTest-d46b1ab4-f479-43b6-841f-dd53d51d550a","testclasses.HomepageTest","verifyattributesearch"
"Verify that the search bar is working and the result is loading.","6615","Search dwg in searchbar","Default Suite","2026-05-06","passed","2026-05-06","testclasses.HomepageTest","TestNGTest-d46b1ab4-f479-43b6-841f-dd53d51d550a","testclasses.HomepageTest","verifydwgfileSearch"
"verify company login","1601","CompanyLogin","Default Suite","2026-05-06","passed","2026-05-06","testclasses.HomepageTest","TestNGTest-d46b1ab4-f479-43b6-841f-dd53d51d550a","testclasses.HomepageTest","companyLogin"
"Verify that the search bar is working and the result is loading.","6414","Search docx in searchbar","Default Suite","2026-05-06","passed","2026-05-06","testclasses.HomepageTest","TestNGTest-d46b1ab4-f479-43b6-841f-dd53d51d550a","testclasses.HomepageTest","verifydocxfileSearch"
"Verify that the search bar is working and the result is loading.","6648","Search tiff in searchbar","Default Suite","2026-05-06","passed","2026-05-06","testclasses.HomepageTest","TestNGTest-d46b1ab4-f479-43b6-841f-dd53d51d550a","testclasses.HomepageTest","verifytiffileSearch"
"Verify that the search bar is working and the result is loading.","6586","Search dxf in searchbar","Default Suite","2026-05-06","passed","2026-05-06","testclasses.HomepageTest","TestNGTest-d46b1ab4-f479-43b6-841f-dd53d51d550a","testclasses.HomepageTest","verifydxfleSearch"
"Verify that the search bar is working and the result is loading.","6550","Search csv in searchbar","Default Suite","2026-05-06","passed","2026-05-06","testclasses.HomepageTest","TestNGTest-d46b1ab4-f479-43b6-841f-dd53d51d550a","testclasses.HomepageTest","verifycsvfileSearch"
"Verify that the search bar is working and the result is loading.","6694","Search xlsx in searchbar","Default Suite","2026-05-06","passed","2026-05-06","testclasses.HomepageTest","TestNGTest-d46b1ab4-f479-43b6-841f-dd53d51d550a","testclasses.HomepageTest","verifyxlsxfileSearch"
"Verify that the search bar is working and the result is loading.","6414","Search pptx in searchbar","Default Suite","2026-05-06","passed","2026-05-06","testclasses.HomepageTest","TestNGTest-d46b1ab4-f479-43b6-841f-dd53d51d550a","testclasses.HomepageTest","verifypptxfileSearch"
"verify user login","130","userLogin","Default Suite","2026-05-06","passed","2026-05-06","testclasses.Rough","TestNGTest-39506f6d-6221-4243-a0ed-7ef8709e5008","testclasses.Rough","userLogin"
"Verify that the search bar is working and the result is loading.","8140","Search a3dasm in searchbar","Default Suite","2026-05-06","passed","2026-05-06","testclasses.HomepageTest","TestNGTest-d46b1ab4-f479-43b6-841f-dd53d51d550a","testclasses.HomepageTest","verifya3dfileSearch"
"Verify that the search bar is working and the result is loading.","8220","Search jpg in searchbar","Default Suite","2026-05-06","passed","2026-05-06","testclasses.HomepageTest","TestNGTest-d46b1ab4-f479-43b6-841f-dd53d51d550a","testclasses.HomepageTest","verifyjpgfileSearch"
"verify user login","131","userLogin","Default Suite","2026-05-06","passed","2026-05-06","testclasses.HomepageTest","TestNGTest-d46b1ab4-f479-43b6-841f-dd53d51d550a","testclasses.HomepageTest","userLogin"
"Verify that all required icons and links are visible on the main dashboard.","3525","Verify Homepage Icons","Default Suite","2026-05-06","passed","2026-05-06","testclasses.HomepageTest","TestNGTest-d46b1ab4-f479-43b6-841f-dd53d51d550a","testclasses.HomepageTest","verifyHomepage"
"Verify that the search bar is working and the result is loading.","7208","Search a3dprt in searchbar","Default Suite","2026-05-06","passed","2026-05-06","testclasses.HomepageTest","TestNGTest-d46b1ab4-f479-43b6-841f-dd53d51d550a","testclasses.HomepageTest","verifya3dprtfileSearch"
"Verify that the attribute search is working and the result is loading.","16060","attributesearch","Default Suite","2026-05-06","passed","2026-05-06","testclasses.Rough","TestNGTest-39506f6d-6221-4243-a0ed-7ef8709e5008","testclasses.Rough","verifyattributesearch"
