"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"Verify that the attribute search is working and the result is loading.","14769","attributesearch","Default Suite","2026-05-06","passed","2026-05-06","testclasses.Rough","TestNGTest-bc8aef6c-2307-4d68-807d-c28e3cbae699","testclasses.Rough","verifyattributesearch"
"Verify that the search bar is working and the result is loading.","6679","Search xlsx in searchbar","Default Suite","2026-05-06","passed","2026-05-06","testclasses.HomepageTest","TestNGTest-ede25240-6853-4bc2-9480-9ac534d65bed","testclasses.HomepageTest","verifyxlsxfileSearch"
"Verify that the search bar is working and the result is loading.","6389","Search docx in searchbar","Default Suite","2026-05-06","passed","2026-05-06","testclasses.HomepageTest","TestNGTest-ede25240-6853-4bc2-9480-9ac534d65bed","testclasses.HomepageTest","verifydocxfileSearch"
"Verify that the search bar is working and the result is loading.","7880","Search a3dasm in searchbar","Default Suite","2026-05-06","passed","2026-05-06","testclasses.HomepageTest","TestNGTest-ede25240-6853-4bc2-9480-9ac534d65bed","testclasses.HomepageTest","verifya3dfileSearch"
"Verify that the attribute search is working and the result is loading.","12723","attributesearch","Default Suite","2026-05-06","passed","2026-05-06","testclasses.HomepageTest","TestNGTest-ede25240-6853-4bc2-9480-9ac534d65bed","testclasses.HomepageTest","verifyFilenameSearch"
"Verify that the search bar is working and the result is loading.","6600","Search dwg in searchbar","Default Suite","2026-05-06","passed","2026-05-06","testclasses.HomepageTest","TestNGTest-ede25240-6853-4bc2-9480-9ac534d65bed","testclasses.HomepageTest","verifydwgfileSearch"
"Verify that the attribute search is working and the result is loading.","36222","attribute search","Default Suite","2026-05-06","broken","2026-05-06","testclasses.HomepageTest","TestNGTest-ede25240-6853-4bc2-9480-9ac534d65bed","testclasses.HomepageTest","verifyAttributeSearch"
"Verify that the content search is working and the result is loading.","36153","content search","Default Suite","2026-05-06","broken","2026-05-06","testclasses.HomepageTest","TestNGTest-ede25240-6853-4bc2-9480-9ac534d65bed","testclasses.HomepageTest","verifyContentSearch"
"Verify that the search bar is working and the result is loading.","6325","Search csv in searchbar","Default Suite","2026-05-06","passed","2026-05-06","testclasses.HomepageTest","TestNGTest-ede25240-6853-4bc2-9480-9ac534d65bed","testclasses.HomepageTest","verifycsvfileSearch"
"Verify that all required icons and links are visible on the main dashboard.","4102","Verify Homepage Icons","Default Suite","2026-05-06","passed","2026-05-06","testclasses.HomepageTest","TestNGTest-ede25240-6853-4bc2-9480-9ac534d65bed","testclasses.HomepageTest","verifyHomepage"
"verify company login","1691","CompanyLogin","Default Suite","2026-05-06","passed","2026-05-06","testclasses.HomepageTest","TestNGTest-ede25240-6853-4bc2-9480-9ac534d65bed","testclasses.HomepageTest","companyLogin"
"Verify that the search bar is working and the result is loading.","7226","Search pdf in searchbar","Default Suite","2026-05-06","passed","2026-05-06","testclasses.HomepageTest","TestNGTest-ede25240-6853-4bc2-9480-9ac534d65bed","testclasses.HomepageTest","verifyfileSearch"
"verify user login","142","userLogin","Default Suite","2026-05-06","passed","2026-05-06","testclasses.HomepageTest","TestNGTest-ede25240-6853-4bc2-9480-9ac534d65bed","testclasses.HomepageTest","userLogin"
"Verify that the search bar is working and the result is loading.","6409","Search pptx in searchbar","Default Suite","2026-05-06","passed","2026-05-06","testclasses.HomepageTest","TestNGTest-ede25240-6853-4bc2-9480-9ac534d65bed","testclasses.HomepageTest","verifypptxfileSearch"
"verify user login","121","userLogin","Default Suite","2026-05-06","passed","2026-05-06","testclasses.Rough","TestNGTest-bc8aef6c-2307-4d68-807d-c28e3cbae699","testclasses.Rough","userLogin"
"verify company login","1548","CompanyLogin","Default Suite","2026-05-06","passed","2026-05-06","testclasses.Rough","TestNGTest-bc8aef6c-2307-4d68-807d-c28e3cbae699","testclasses.Rough","companyLogin"
"Verify that the search bar is working and the result is loading.","7723","Search jpg in searchbar","Default Suite","2026-05-06","passed","2026-05-06","testclasses.HomepageTest","TestNGTest-ede25240-6853-4bc2-9480-9ac534d65bed","testclasses.HomepageTest","verifyjpgfileSearch"
"Verify that the search bar is working and the result is loading.","7047","Search a3dprt in searchbar","Default Suite","2026-05-06","passed","2026-05-06","testclasses.HomepageTest","TestNGTest-ede25240-6853-4bc2-9480-9ac534d65bed","testclasses.HomepageTest","verifya3dprtfileSearch"
"Verify that the attribute search is working and the result is loading.","32180","attributesearch","Default Suite","2026-05-06","broken","2026-05-06","testclasses.HomepageTest","TestNGTest-d46b1ab4-f479-43b6-841f-dd53d51d550a","testclasses.HomepageTest","verifyattributesearch"
"Verify that the search bar is working and the result is loading.","6537","Search tiff in searchbar","Default Suite","2026-05-06","passed","2026-05-06","testclasses.HomepageTest","TestNGTest-ede25240-6853-4bc2-9480-9ac534d65bed","testclasses.HomepageTest","verifytiffileSearch"
"Verify that the search bar is working and the result is loading.","6528","Search dxf in searchbar","Default Suite","2026-05-06","passed","2026-05-06","testclasses.HomepageTest","TestNGTest-ede25240-6853-4bc2-9480-9ac534d65bed","testclasses.HomepageTest","verifydxfleSearch"
