"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"Verify that the search bar is working and the result is loading.","7021","Search dxf in searchbar","Default Suite","2026-05-11","passed","2026-05-11","testclasses.HomepageTest","TestNGTest-b26d35ce-7224-427a-80c4-193caefabbc1","testclasses.HomepageTest","verifydxfleSearch"
"Verify that the search bar is working and the result is loading.","8761","Search csv in searchbar","Default Suite","2026-05-11","passed","2026-05-11","testclasses.HomepageTest","TestNGTest-b26d35ce-7224-427a-80c4-193caefabbc1","testclasses.HomepageTest","verifycsvfileSearch"
"Verify that the search bar is working and the result is loading.","7103","Search tiff in searchbar","Default Suite","2026-05-11","passed","2026-05-11","testclasses.HomepageTest","TestNGTest-b26d35ce-7224-427a-80c4-193caefabbc1","testclasses.HomepageTest","verifytiffileSearch"
"Verify that the content search is working and the result is loading.","16270","content search in searchdropdown","Default Suite","2026-05-11","passed","2026-05-11","testclasses.HomepageTest","TestNGTest-b26d35ce-7224-427a-80c4-193caefabbc1","testclasses.HomepageTest","contentserch"
"Verify that the attribute search is working and the result is loading.","18655","attributes search in searchdropdown","Default Suite","2026-05-11","broken","2026-05-11","testclasses.HomepageTest","TestNGTest-b26d35ce-7224-427a-80c4-193caefabbc1","testclasses.HomepageTest","attributesearch"
"Verify that the attribute search is working and the result is loading.","15951","Filename Search in searchdropdown","Default Suite","2026-05-11","passed","2026-05-11","testclasses.HomepageTest","TestNGTest-b26d35ce-7224-427a-80c4-193caefabbc1","testclasses.HomepageTest","verifyFilenameSearch"
"Verify that the search bar is working and the result is loading.","7546","Search a3dprt in searchbar","Default Suite","2026-05-11","passed","2026-05-11","testclasses.HomepageTest","TestNGTest-b26d35ce-7224-427a-80c4-193caefabbc1","testclasses.HomepageTest","verifya3dprtfileSearch"
"Verify that the search bar is working and the result is loading.","6421","Search pptx in searchbar","Default Suite","2026-05-11","passed","2026-05-11","testclasses.HomepageTest","TestNGTest-b26d35ce-7224-427a-80c4-193caefabbc1","testclasses.HomepageTest","verifypptxfileSearch"
"Verify that the search bar is working and the result is loading.","8236","Search jpg in searchbar","Default Suite","2026-05-11","passed","2026-05-11","testclasses.HomepageTest","TestNGTest-b26d35ce-7224-427a-80c4-193caefabbc1","testclasses.HomepageTest","verifyjpgfileSearch"
"Verify that the search bar is working and the result is loading.","7928","Search pdf in searchbar","Default Suite","2026-05-11","passed","2026-05-11","testclasses.HomepageTest","TestNGTest-b26d35ce-7224-427a-80c4-193caefabbc1","testclasses.HomepageTest","verifyfileSearch"
"Verify that the search bar is working and the result is loading.","7061","Search xlsx in searchbar","Default Suite","2026-05-11","passed","2026-05-11","testclasses.HomepageTest","TestNGTest-b26d35ce-7224-427a-80c4-193caefabbc1","testclasses.HomepageTest","verifyxlsxfileSearch"
"verify company login","1598","CompanyLogin","Default Suite","2026-05-11","passed","2026-05-11","testclasses.HomepageTest","TestNGTest-b26d35ce-7224-427a-80c4-193caefabbc1","testclasses.HomepageTest","companyLogin"
"verify user login","116","userLogin","Default Suite","2026-05-11","passed","2026-05-11","testclasses.HomepageTest","TestNGTest-b26d35ce-7224-427a-80c4-193caefabbc1","testclasses.HomepageTest","userLogin"
"Verify that the search bar is working and the result is loading.","7007","Search docx in searchbar","Default Suite","2026-05-11","passed","2026-05-11","testclasses.HomepageTest","TestNGTest-b26d35ce-7224-427a-80c4-193caefabbc1","testclasses.HomepageTest","verifydocxfileSearch"
"Verify that the search bar is working and the result is loading.","7649","Search a3dasm in searchbar","Default Suite","2026-05-11","passed","2026-05-11","testclasses.HomepageTest","TestNGTest-b26d35ce-7224-427a-80c4-193caefabbc1","testclasses.HomepageTest","verifya3dfileSearch"
"Verify that the file checkbox search is working and the result is loading.","32413","Search using File Checkbox","Default Suite","2026-05-11","broken","2026-05-11","testclasses.HomepageTest","TestNGTest-b26d35ce-7224-427a-80c4-193caefabbc1","testclasses.HomepageTest","verifyFileCheckboxSearch"
"Verify that the search bar is working and the result is loading.","7075","Search dwg in searchbar","Default Suite","2026-05-11","passed","2026-05-11","testclasses.HomepageTest","TestNGTest-b26d35ce-7224-427a-80c4-193caefabbc1","testclasses.HomepageTest","verifydwgfileSearch"
"Verify that all required icons and links are visible on the main dashboard.","1957","Verify Homepage Icons","Default Suite","2026-05-11","passed","2026-05-11","testclasses.HomepageTest","TestNGTest-b26d35ce-7224-427a-80c4-193caefabbc1","testclasses.HomepageTest","verifyHomepage"
"Verify that the folder checkbox search is working and the result is loading.","8433","Search using Folder Checkbox","Default Suite","2026-05-11","broken","2026-05-11","testclasses.HomepageTest","TestNGTest-b26d35ce-7224-427a-80c4-193caefabbc1","testclasses.HomepageTest","verifyFolderCheckboxSearch"
