"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"verify company login","2001","CompanyLogin","Default Suite","2026-05-07","passed","2026-05-07","testclasses.HomepageTest","TestNGTest-d1ca6a6b-69f8-43eb-a62e-8ccdf2d35ac6","testclasses.HomepageTest","companyLogin"
"Verify that the search bar is working and the result is loading.","7009","Search xlsx in searchbar","Default Suite","2026-05-07","passed","2026-05-07","testclasses.HomepageTest","TestNGTest-d1ca6a6b-69f8-43eb-a62e-8ccdf2d35ac6","testclasses.HomepageTest","verifyxlsxfileSearch"
"Verify that all required icons and links are visible on the main dashboard.","4028","Verify Homepage Icons","Default Suite","2026-05-07","passed","2026-05-07","testclasses.HomepageTest","TestNGTest-d1ca6a6b-69f8-43eb-a62e-8ccdf2d35ac6","testclasses.HomepageTest","verifyHomepage"
"Verify that the attribute search is working and the result is loading.","36222","attribute search","Default Suite","2026-05-06","broken","2026-05-06","testclasses.HomepageTest","TestNGTest-ede25240-6853-4bc2-9480-9ac534d65bed","testclasses.HomepageTest","verifyAttributeSearch"
"Verify that the attribute search is working and the result is loading.","32180","attributesearch","Default Suite","2026-05-06","broken","2026-05-06","testclasses.HomepageTest","TestNGTest-d46b1ab4-f479-43b6-841f-dd53d51d550a","testclasses.HomepageTest","verifyattributesearch"
"Verify that the search bar is working and the result is loading.","9344","Search pdf in searchbar","Default Suite","2026-05-07","passed","2026-05-07","testclasses.HomepageTest","TestNGTest-d1ca6a6b-69f8-43eb-a62e-8ccdf2d35ac6","testclasses.HomepageTest","verifyfileSearch"
"verify company login","1585","CompanyLogin","Default Suite","2026-05-06","passed","2026-05-06","testclasses.Rough","TestNGTest-4e8da540-9612-4b2e-8b66-2e299d4d6d4d","testclasses.Rough","companyLogin"
"Verify that the attribute search is working and the result is loading.","43571","attribute search","Default Suite","2026-05-06","broken","2026-05-06","testclasses.Rough","TestNGTest-4e8da540-9612-4b2e-8b66-2e299d4d6d4d","testclasses.Rough","verifyAttributeSearch"
"Verify that the search bar is working and the result is loading.","8547","Search dxf in searchbar","Default Suite","2026-05-07","passed","2026-05-07","testclasses.HomepageTest","TestNGTest-d1ca6a6b-69f8-43eb-a62e-8ccdf2d35ac6","testclasses.HomepageTest","verifydxfleSearch"
"Verify that the attribute search is working and the result is loading.","36248","attributesearch","Default Suite","2026-05-07","broken","2026-05-07","testclasses.HomepageTest","TestNGTest-d1ca6a6b-69f8-43eb-a62e-8ccdf2d35ac6","testclasses.HomepageTest","verifyFilenameSearch"
"Verify that the search bar is working and the result is loading.","8129","Search dwg in searchbar","Default Suite","2026-05-07","passed","2026-05-07","testclasses.HomepageTest","TestNGTest-d1ca6a6b-69f8-43eb-a62e-8ccdf2d35ac6","testclasses.HomepageTest","verifydwgfileSearch"
"Verify that the search bar is working and the result is loading.","9724","Search a3dasm in searchbar","Default Suite","2026-05-07","passed","2026-05-07","testclasses.HomepageTest","TestNGTest-d1ca6a6b-69f8-43eb-a62e-8ccdf2d35ac6","testclasses.HomepageTest","verifya3dfileSearch"
"verify user login","141","userLogin","Default Suite","2026-05-07","passed","2026-05-07","testclasses.HomepageTest","TestNGTest-d1ca6a6b-69f8-43eb-a62e-8ccdf2d35ac6","testclasses.HomepageTest","userLogin"
"Verify that the search bar is working and the result is loading.","12571","Search csv in searchbar","Default Suite","2026-05-07","passed","2026-05-07","testclasses.HomepageTest","TestNGTest-d1ca6a6b-69f8-43eb-a62e-8ccdf2d35ac6","testclasses.HomepageTest","verifycsvfileSearch"
"Verify that the search bar is working and the result is loading.","7261","Search a3dprt in searchbar","Default Suite","2026-05-07","passed","2026-05-07","testclasses.HomepageTest","TestNGTest-d1ca6a6b-69f8-43eb-a62e-8ccdf2d35ac6","testclasses.HomepageTest","verifya3dprtfileSearch"
"Verify that the search bar is working and the result is loading.","8076","Search jpg in searchbar","Default Suite","2026-05-07","passed","2026-05-07","testclasses.HomepageTest","TestNGTest-d1ca6a6b-69f8-43eb-a62e-8ccdf2d35ac6","testclasses.HomepageTest","verifyjpgfileSearch"
"Verify that the attribute search is working and the result is loading.","14769","attributesearch","Default Suite","2026-05-06","passed","2026-05-06","testclasses.Rough","TestNGTest-bc8aef6c-2307-4d68-807d-c28e3cbae699","testclasses.Rough","verifyattributesearch"
"Verify that the content search is working and the result is loading.","36153","content search","Default Suite","2026-05-06","broken","2026-05-06","testclasses.HomepageTest","TestNGTest-ede25240-6853-4bc2-9480-9ac534d65bed","testclasses.HomepageTest","verifyContentSearch"
"Verify that the content search is working and the result is loading.","34121","content search","Default Suite","2026-05-07","broken","2026-05-07","testclasses.HomepageTest","TestNGTest-d1ca6a6b-69f8-43eb-a62e-8ccdf2d35ac6","testclasses.HomepageTest","contentserch"
"Verify that the search bar is working and the result is loading.","6820","Search docx in searchbar","Default Suite","2026-05-07","passed","2026-05-07","testclasses.HomepageTest","TestNGTest-d1ca6a6b-69f8-43eb-a62e-8ccdf2d35ac6","testclasses.HomepageTest","verifydocxfileSearch"
"verify user login","124","userLogin","Default Suite","2026-05-06","passed","2026-05-06","testclasses.Rough","TestNGTest-4e8da540-9612-4b2e-8b66-2e299d4d6d4d","testclasses.Rough","userLogin"
"Verify that the search bar is working and the result is loading.","20525","Search pptx in searchbar","Default Suite","2026-05-07","passed","2026-05-07","testclasses.HomepageTest","TestNGTest-d1ca6a6b-69f8-43eb-a62e-8ccdf2d35ac6","testclasses.HomepageTest","verifypptxfileSearch"
