"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"Verify that all required icons and links are visible on the main dashboard.","2758","Verify Homepage Icons","Default Suite","2026-05-04","passed","2026-05-04","testclasses.HomepageTest","TestNGTest-da77fe7c-3e67-4d58-a646-7ddd1ac6615c","testclasses.HomepageTest","verifyHomepage"
"Verify that the search bar is working and the result is loading.","8314","Search pdf in searchbar","Default Suite","2026-05-04","passed","2026-05-04","testclasses.HomepageTest","TestNGTest-da77fe7c-3e67-4d58-a646-7ddd1ac6615c","testclasses.HomepageTest","verifyfileSearch"
"Verify that the search bar is working and the result is loading.","8304","Search jpg in searchbar","Default Suite","2026-05-04","passed","2026-05-04","testclasses.HomepageTest","TestNGTest-da77fe7c-3e67-4d58-a646-7ddd1ac6615c","testclasses.HomepageTest","verifyjpgfileSearch"
"verify user login","121","userLogin","Default Suite","2026-05-04","passed","2026-05-04","testclasses.HomepageTest","TestNGTest-da77fe7c-3e67-4d58-a646-7ddd1ac6615c","testclasses.HomepageTest","userLogin"
"verify company login","1592","CompanyLogin","Default Suite","2026-05-04","passed","2026-05-04","testclasses.HomepageTest","TestNGTest-da77fe7c-3e67-4d58-a646-7ddd1ac6615c","testclasses.HomepageTest","companyLogin"
"Verify that the search bar is working and the result is loading.","7845","Search 3d in searchbar","Default Suite","2026-05-04","passed","2026-05-04","testclasses.HomepageTest","TestNGTest-da77fe7c-3e67-4d58-a646-7ddd1ac6615c","testclasses.HomepageTest","verifya3dfileSearch"
