"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"Verify that the search bar is working and the result is loading.","9767","Search xlsx in searchbar","Default suite","2026-06-09","passed","2026-06-09","testclasses.HomepageTest","Default test","testclasses.HomepageTest","verifyxlsxfileSearch"
"Verify that the search bar is working and the result is loading.","8798","Search dxf in searchbar","Default suite","2026-06-09","passed","2026-06-09","testclasses.HomepageTest","Default test","testclasses.HomepageTest","verifydxfleSearch"
"Verify that the search bar is working and the result is loading.","10342","Search pdf in searchbar","Default suite","2026-06-09","passed","2026-06-09","testclasses.HomepageTest","Default test","testclasses.HomepageTest","verifyfileSearch"
"Verify that the search bar is working and the result is loading.","8105","Search csv in searchbar","Default suite","2026-06-09","passed","2026-06-09","testclasses.HomepageTest","Default test","testclasses.HomepageTest","verifycsvfileSearch"
"Verify that the search bar is working and the result is loading.","9999","Search a3dasm in searchbar","Default suite","2026-06-09","passed","2026-06-09","testclasses.HomepageTest","Default test","testclasses.HomepageTest","verifya3dfileSearch"
"Verify file search count","9485","Search File Count","Default suite","2026-06-09","passed","2026-06-09","testclasses.HomepageTest","Default test","testclasses.HomepageTest","verifyFileSearchCount"
"Verify that the folder checkbox search is working and the result is loading.","31048","Search using Folder Checkbox","Default suite","2026-06-09","skipped","2026-06-09","testclasses.HomepageTest","Default test","testclasses.HomepageTest","verifyFolderCheckboxSearch"
"Verify that all required icons and links are visible on the main dashboard.","2275","Verify Homepage Icons","Default suite","2026-06-09","passed","2026-06-09","testclasses.HomepageTest","Default test","testclasses.HomepageTest","verifyHomepage"
"verify user login","123","userLogin","Default suite","2026-06-09","passed","2026-06-09","testclasses.Rough","Default test","testclasses.Rough","userLogin"
"Verify that the search bar is working and the result is loading.","8001","Search dwg in searchbar","Default suite","2026-06-09","passed","2026-06-09","testclasses.HomepageTest","Default test","testclasses.HomepageTest","verifydwgfileSearch"
"Verify file search count","14466","Search File Count","Default suite","2026-06-09","passed","2026-06-09","testclasses.Rough","Default test","testclasses.Rough","verifyFileSearchCount"
